"FranchsieID","GoalieId","FHMID","Player.Name","LeagueId","newTeamID","TeamId","SubtotalForId","Season","isPlayoffs","GamesPlayed","Wins","Losses","OvertimeLosses","Minutes","PenaltyMinutes","Shutouts","GoalsAgainst","ShotsAgainst","Assists","EmptyGoalAgainst","PenaltyShotAttempts","Starts","Backups","PenaltyShotSaves","X","X.1"
"9",100001,"1000028","CPU Player",1,1,"9","",3,0,1,0,1,0,44,0,0,3,23,0,0,0,0,40,0,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",3,0,40,18,16,5,2403,15,4,76,1061,0,0,33,40,0,24,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",3,1,6,2,3,1,367,0,0,17,208,1,0,0,6,0,0,NA,NA
"10",100008,"1100008","Mike O'Brien",1,9,"10","",3,0,38,15,22,1,2220,4,1,86,990,1,0,14,38,2,12,NA,NA
"10",100009,"1100009","Joona Poukkanen",1,9,"10","",3,0,4,1,1,0,208,0,0,9,122,1,0,0,2,38,0,NA,NA
"14",100000,"1000769","Jonathan Kane",1,5,"14","",3,0,40,18,14,8,2449,0,2,92,1154,3,0,37,40,0,23,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",3,1,13,7,4,2,836,0,0,33,389,1,0,0,13,0,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",4,0,40,33,2,4,2406,4,2,76,1152,3,0,31,40,0,21,NA,NA
"3",100013,"1100013","Viari Latypov",1,7,"38","",4,0,1,1,0,0,38,0,0,0,11,0,0,0,0,40,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",4,1,10,8,1,1,592,15,0,19,290,0,0,0,10,0,0,NA,NA
"4",100001,"1000028","CPU Player",1,8,"4","",4,0,1,0,0,0,17,0,0,0,4,0,0,0,0,40,0,NA,NA
"4",100008,"1100008","Mike O'Brien",1,8,"4","",4,0,40,21,16,3,2422,2,2,88,1265,0,0,25,40,0,18,NA,NA
"4",100008,"1100008","Mike O'Brien",1,8,"4","",4,1,6,2,3,1,361,0,0,16,202,0,0,0,6,0,0,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,6,"37","",4,0,40,17,16,7,2445,6,0,102,1285,4,0,33,40,0,17,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,6,"37","",4,1,6,2,2,1,328,0,0,16,180,0,0,0,6,0,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",4,0,40,20,15,5,2355,0,4,89,1181,2,1,19,40,0,12,NA,NA
"6",100014,"1100014","C.J Major",1,4,"6","",4,0,2,0,0,0,78,0,0,5,26,0,0,0,0,40,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",4,1,16,9,5,2,980,0,1,37,549,0,0,0,16,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",4,0,40,18,12,9,2384,17,2,86,1251,1,0,30,40,0,16,NA,NA
"7",100001,"1000028","CPU Player",1,2,"7","24",4,0,1,0,1,0,59,0,0,5,23,0,0,0,0,40,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",4,1,5,1,3,1,302,0,0,15,156,0,0,0,5,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",4,1,5,1,3,1,302,0,0,15,156,0,0,0,5,0,0,NA,NA
"9",100001,"1000028","CPU Player",1,1,"9","",4,0,1,0,0,0,19,0,0,1,11,0,0,0,0,40,0,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",4,0,40,13,23,4,2414,4,2,88,1282,3,1,21,40,0,14,NA,NA
"10",100012,"1100012","Shane Kelley",1,9,"10","",4,0,6,1,2,0,217,0,0,17,110,0,0,0,2,38,0,NA,NA
"10",100015,"1100015","Serge Niles",1,9,"10","",4,0,39,17,16,4,2208,15,1,86,1123,1,0,18,38,2,13,NA,NA
"14",100000,"1000769","Jonathan Kane",1,5,"14","",4,0,40,19,18,2,2374,2,1,109,1165,1,0,28,40,0,24,NA,NA
"14",100001,"1000028","CPU Player",1,5,"14","21",4,0,2,0,1,0,64,0,0,5,32,0,0,0,0,40,0,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",4,1,11,5,3,3,665,0,0,29,355,0,0,0,11,0,0,NA,NA
"2",100013,"1100013","Viari Latypov",1,12,"2","",5,0,44,8,31,4,2596,21,1,123,1516,1,1,19,44,0,12,NA,NA
"2",100001,"1000028","CPU Player",1,12,"2","",5,0,2,0,1,0,76,0,0,3,49,0,0,0,0,44,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",5,0,44,26,12,6,2667,2,1,79,1270,2,1,45,44,0,33,NA,NA
"3",100001,"1000028","CPU Player",1,7,"38","",5,0,1,0,0,0,27,0,0,0,12,0,0,0,0,44,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",5,1,7,3,3,1,422,0,0,15,205,0,0,0,7,0,0,NA,NA
"4",100001,"1000028","CPU Player",1,8,"4","",5,0,2,0,0,0,43,0,0,4,31,0,0,0,0,44,0,NA,NA
"4",100018,"1100018","Jayson Hornet",1,8,"4","",5,0,44,24,16,4,2659,0,1,110,1271,0,0,37,44,0,28,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,13,"39","",5,1,15,8,6,1,877,0,0,36,458,0,0,0,15,0,0,NA,NA
"5",100024,"1100024","Brandon Sawyer",1,13,"39","",5,1,1,0,0,0,34,0,0,2,15,0,0,0,0,17,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",5,1,9,8,0,1,561,0,0,15,300,0,0,0,9,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",5,0,42,27,10,4,2467,0,5,79,1197,2,0,13,42,2,8,NA,NA
"7",100017,"1100017","Carlos Verde",1,2,"7","",5,0,4,1,2,0,197,0,0,8,105,0,0,0,2,42,0,NA,NA
"7",100017,"1100017","Carlos Verde",1,2,"7","",5,1,1,0,0,0,33,0,0,1,9,0,0,0,0,12,0,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",5,0,42,21,14,6,2538,15,1,96,1257,0,0,40,42,2,33,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",5,0,4,0,1,2,162,0,0,9,87,0,0,2,2,42,0,NA,NA
"10",100015,"1100015","Serge Niles",1,9,"10","",5,0,44,22,13,9,2644,4,2,100,1313,2,0,29,44,0,16,NA,NA
"10",100012,"1100012","Shane Kelley",1,9,"10","",5,0,2,0,0,0,42,0,0,3,21,0,0,0,0,44,0,NA,NA
"10",100012,"1100012","Shane Kelley",1,9,"10","",5,1,1,0,0,0,31,0,0,0,17,0,0,0,0,7,0,NA,NA
"10",NA,"1100012","Shane Kelley",1,9,"10","",5,1,1,0,0,0,31,0,0,0,17,0,0,0,0,7,0,NA,NA
"10",100015,"1100015","Serge Niles",1,9,"10","",5,1,7,3,4,0,389,0,0,17,191,0,0,0,7,0,0,NA,NA
"11",100011,"1100011","Ajax McFallahan",1,11,"11","",5,0,3,1,1,0,152,0,0,4,78,1,0,4,2,42,2,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",5,0,42,12,23,7,2546,0,0,114,1458,6,0,39,42,2,29,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",5,1,5,2,3,0,308,0,0,12,154,0,0,0,5,0,0,NA,NA
"2",100013,"1100013","Viari Latypov",1,12,"2","",6,0,15,5,8,0,816,4,0,38,389,0,1,7,13,47,7,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",6,0,48,24,16,7,2837,0,0,117,1426,0,0,40,47,13,26,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",6,1,17,11,1,5,1043,0,0,37,520,1,0,0,17,0,0,NA,NA
"3",100001,"1000028","CPU Player",1,7,"38","",6,0,2,0,0,0,48,0,0,1,30,0,0,0,0,60,0,NA,NA
"3",100020,"1100020","Craig Whatman",1,7,"38","",6,0,16,8,7,1,946,0,0,50,494,0,0,3,16,0,3,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","47",6,0,44,17,20,7,2653,0,2,98,1367,1,0,26,44,0,15,NA,NA
"4",100018,"1100018","Jayson Hornet",1,8,"4","",6,0,60,29,24,7,3548,17,2,142,1782,2,1,39,60,0,27,NA,NA
"4",100023,"1100023","Joey Zyla",1,8,"4","",6,0,4,0,0,0,103,0,0,8,44,0,1,0,0,60,0,NA,NA
"4",100018,"1100018","Jayson Hornet",1,8,"4","",6,1,5,1,4,0,304,0,0,16,169,0,1,0,5,0,0,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,13,"39","45",6,0,1,0,0,0,46,0,0,1,19,0,0,0,0,54,0,NA,NA
"5",100001,"1000028","CPU Player",1,13,"39","47",6,0,2,0,0,0,54,0,0,3,25,0,0,0,0,6,0,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,13,"39","",6,0,60,35,19,6,3555,2,0,140,1714,6,1,38,60,0,26,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,13,"39","",6,1,6,2,3,1,360,2,1,15,185,0,1,0,6,0,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",6,0,60,31,23,5,3464,21,3,131,1791,2,4,36,60,0,24,NA,NA
"6",100014,"1100014","C.J Major",1,4,"6","",6,0,5,0,1,0,174,0,0,13,77,2,0,0,0,60,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",6,1,5,1,4,0,250,2,0,18,151,0,0,0,5,0,0,NA,NA
"7",100021,"1100021","Eddy Garcia",1,2,"7","",6,0,3,0,1,0,101,0,0,7,51,0,0,0,0,60,0,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",6,0,60,28,24,7,3544,19,0,168,1862,2,0,31,60,0,24,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",6,0,3,1,1,0,98,0,0,2,30,0,0,3,0,60,3,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",6,0,60,30,23,5,3556,6,1,150,1847,6,2,38,60,0,27,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",6,1,11,5,4,1,604,17,0,30,336,2,1,0,11,0,0,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",6,1,2,0,1,0,63,0,0,6,35,0,0,0,0,11,0,NA,NA
"10",100015,"1100015","Serge Niles",1,9,"10","",6,0,41,17,19,5,2479,4,1,113,1204,3,3,32,40,20,22,NA,NA
"10",100003,"1100003","Mike Honcho",1,9,"10","47",6,0,14,9,5,0,854,0,1,29,462,0,1,9,14,0,7,NA,NA
"10",100025,"1100025","Doug Light",1,9,"10","",6,0,6,3,2,0,320,0,0,20,160,0,0,0,6,21,0,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",6,0,53,34,13,5,3123,0,4,108,1549,2,1,28,51,9,19,NA,NA
"11",100000,"1000769","Jonathan Kane",1,11,"11","",6,0,10,4,4,0,518,0,0,25,270,0,1,0,9,51,0,NA,NA
"11",769,"1000769","Jonathan Kane",1,11,"11","",6,1,5,3,1,0,271,2,0,8,135,0,0,0,4,8,0,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",6,1,8,5,3,0,474,0,0,23,242,2,0,0,8,4,0,NA,NA
"14",100001,"1000028","CPU Player",1,5,"14","",6,0,2,1,0,0,55,0,0,4,28,0,0,0,0,60,0,NA,NA
"14",100022,"1100022","John McBride",1,5,"14","",6,0,60,24,21,14,3619,0,3,129,1872,2,2,62,60,0,37,NA,NA
"#N/A",100011,"1100011","Ajax McFallahan",1,NA,"","",6,0,1,0,0,0,46,0,0,1,19,0,0,0,0,54,0,NA,NA
"#N/A",100003,"1100003","Mike Honcho",1,NA,"","",6,0,58,26,25,7,3506,0,3,127,1829,1,1,35,58,0,22,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",7,0,50,24,19,6,3019,4,0,126,1597,3,2,24,50,0,17,NA,NA
"2",100013,"1100013","Viari Latypov",1,12,"2","",7,0,1,0,1,0,18,0,0,2,6,0,0,0,0,14,0,NA,NA
"3",100020,"1100020","Craig Whatman",1,7,"38","",7,0,5,0,0,0,152,0,0,8,79,0,0,0,0,50,0,NA,NA
"3",100029,"1100029","Jonas Gustavo",1,7,"38","",7,0,50,13,29,8,2886,4,1,150,1556,4,3,19,50,0,13,NA,NA
"4",100018,"1100018","Jayson Hornet",1,8,"4","",7,0,39,24,11,3,2329,8,0,95,1196,1,0,14,38,12,9,NA,NA
"4",100031,"1100031","CPUG",1,8,"4","",7,0,1,0,0,0,20,0,0,2,4,0,0,0,0,38,0,NA,NA
"4",100006,"1100006","Fernando Garcia",1,8,"4","74",7,0,12,7,3,2,704,0,0,31,330,0,1,10,12,0,6,NA,NA
"4",100006,"1100006","Fernando Garcia",1,8,"4","",7,1,5,1,3,1,318,0,0,19,165,0,0,0,5,0,0,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,13,"39","",7,0,3,0,0,1,112,0,0,2,39,0,0,3,0,50,2,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,13,"39","",7,0,50,25,21,3,2921,0,1,120,1511,0,0,19,50,0,15,NA,NA
"6",100028,"1100028","Sven Andersson",1,4,"6","",7,0,16,3,10,2,884,2,0,47,477,1,2,5,14,36,2,NA,NA
"6",100001,"1000028","CPU Player",1,4,"6","68",7,0,1,0,0,0,22,0,0,2,13,0,0,0,0,11,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","74",7,0,36,19,12,4,2116,17,2,84,1083,2,2,6,36,3,4,NA,NA
"7",100021,"1100021","Eddy Garcia",1,2,"7","",7,0,2,0,0,0,46,0,0,2,25,0,0,0,0,50,0,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",7,0,50,26,20,4,2978,0,3,126,1488,1,1,12,50,0,9,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",7,1,14,7,5,1,853,2,1,35,423,3,0,0,14,0,0,NA,NA
"7",100021,"1100021","Eddy Garcia",1,2,"7","",7,1,1,1,0,0,53,0,0,2,23,0,0,0,0,14,0,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",7,0,1,0,0,0,29,0,0,1,7,0,0,0,0,50,0,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",7,0,50,26,20,4,3012,4,2,125,1536,2,0,26,50,0,16,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",7,1,4,0,2,2,264,0,0,12,143,0,1,0,4,0,0,NA,NA
"10",100003,"1100003","Mike Honcho",1,9,"10","",7,0,50,33,13,4,3044,2,1,123,1497,0,3,25,50,0,23,NA,NA
"10",100003,"1100003","Mike Honcho",1,9,"10","",7,1,5,1,2,2,348,0,0,13,172,0,0,0,5,0,0,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",7,0,50,25,18,6,3024,0,0,135,1545,4,0,32,50,0,17,NA,NA
"11",100030,"1000312","CPU",1,11,"11","",7,0,1,0,1,0,10,0,0,4,6,0,0,0,0,50,0,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",7,1,7,3,3,1,447,0,0,18,198,0,0,0,7,0,0,NA,NA
"14",100022,"1100022","John McBride",1,5,"14","",7,0,50,25,19,6,2953,0,2,115,1506,2,1,24,50,0,16,NA,NA
"14",100001,"1000028","CPU Player",1,5,"14","81",7,0,2,0,0,0,90,0,0,7,44,0,0,0,0,50,0,NA,NA
"#N/A",100006,"1100006","Fernando Garcia",1,NA,"","",7,0,48,26,15,6,2819,17,2,115,1413,2,3,16,48,3,10,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",8,0,44,26,14,4,2625,0,1,113,1406,1,0,14,44,6,10,NA,NA
"2",100013,"1100013","Viari Latypov",1,12,"2","",8,0,7,4,2,0,399,0,0,9,182,1,0,0,6,44,0,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",8,1,12,6,4,2,727,2,1,24,352,1,0,0,12,0,0,NA,NA
"3",100029,"1100029","Jonas Gustavo",1,7,"38","",8,0,45,19,23,1,2588,4,1,130,1358,2,1,17,44,6,15,NA,NA
"3",100018,"1100018","Jayson Hornet",1,7,"38","",8,0,10,4,2,1,435,15,1,18,191,1,0,5,6,44,3,NA,NA
"4",100017,"1100017","Carlos Verde",1,8,"4","",8,0,1,0,0,0,32,0,0,3,21,0,0,0,0,12,0,NA,NA
"4",100006,"1100006","Fernando Garcia",1,8,"4","102",8,0,33,15,13,5,1940,15,0,85,996,2,1,9,33,5,7,NA,NA
"4",100035,"1100035","Janne Helminen",1,8,"4","",8,0,20,2,10,5,1064,0,0,58,576,1,0,14,17,33,11,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,14,"40","",8,0,45,25,13,5,2662,2,0,123,1351,4,1,38,44,6,29,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,14,"40","",8,0,8,3,4,0,387,0,0,24,184,0,0,3,6,44,3,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,14,"40","",8,1,7,3,3,1,438,0,0,22,225,0,1,0,7,0,0,NA,NA
"6",100028,"1100028","Sven Andersson",1,4,"6","",8,0,37,24,9,3,2120,0,1,85,1048,0,0,16,37,13,12,NA,NA
"6",100034,"1100034","Paul Hurowitz",1,4,"6","",8,0,10,3,4,0,464,2,0,18,230,1,2,4,6,32,4,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","102",8,0,8,6,1,0,439,0,1,13,195,0,0,0,7,5,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",8,1,5,3,1,1,306,0,0,9,126,0,0,0,5,6,0,NA,NA
"6",100028,"1100028","Sven Andersson",1,4,"6","",8,1,6,2,4,0,366,0,0,18,190,0,0,0,6,5,0,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",8,0,44,23,19,2,2550,0,2,107,1260,2,3,5,44,6,3,NA,NA
"7",100033,"1100033","Bob Brown",1,2,"7","",8,0,11,3,2,1,473,0,1,16,190,0,1,6,6,44,5,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",8,0,44,24,16,3,2623,2,2,101,1295,0,0,17,44,6,13,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",8,0,8,1,4,2,408,0,0,20,204,0,1,7,6,44,4,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",8,1,19,12,4,3,1177,2,0,44,617,1,0,0,19,0,0,NA,NA
"10",100023,"1100023","Joey Zyla",1,9,"10","",8,0,9,2,3,2,463,0,0,19,226,0,0,3,7,43,2,NA,NA
"10",100003,"1100003","Mike Honcho",1,9,"10","",8,0,43,24,17,2,2583,2,0,100,1278,1,2,31,43,7,25,NA,NA
"10",100003,"1100003","Mike Honcho",1,9,"10","",8,1,6,2,4,0,359,0,0,11,181,1,1,0,6,0,0,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",8,0,44,18,18,6,2542,30,1,120,1290,1,1,30,43,7,20,NA,NA
"11",100032,"1100032","Samu Viltonen",1,11,"11","",8,0,12,3,2,3,510,0,0,19,235,0,0,7,7,43,6,NA,NA
"11",100016,"1100016","Eddie Fischermann",1,11,"11","",8,1,7,3,4,0,432,0,0,17,234,2,0,0,7,0,0,NA,NA
"14",100022,"1100022","John McBride",1,5,"14","",8,0,46,19,17,8,2699,2,0,105,1235,3,2,46,44,6,31,NA,NA
"14",100021,"1100021","Eddy Garcia",1,5,"14","",8,0,8,2,3,1,364,0,0,20,201,0,0,7,6,44,6,NA,NA
"#N/A",100006,"1100006","Fernando Garcia",1,NA,"","",8,0,41,21,14,5,2379,15,1,98,1191,2,1,9,40,10,7,NA,NA
"2",100013,"1100013","Viari Latypov",1,12,"2","",9,0,10,3,3,0,428,0,0,28,140,0,0,3,6,44,3,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",9,0,45,25,17,2,2597,2,1,118,897,5,0,12,44,6,9,NA,NA
"2",100024,"1100024","Brandon Sawyer",1,12,"2","",9,1,7,3,2,2,442,0,0,21,161,1,0,0,7,0,0,NA,NA
"3",100020,"1100020","Craig Whatman",1,7,"38","",9,0,13,0,6,0,435,0,0,49,141,0,0,0,6,44,0,NA,NA
"3",100029,"1100029","Jonas Gustavo",1,7,"38","",9,0,46,14,25,5,2588,0,1,128,910,2,0,17,44,6,11,NA,NA
"4",100035,"1100035","Janne Helminen",1,8,"4","",9,0,19,0,10,0,532,0,0,73,188,0,0,0,9,41,0,NA,NA
"4",100038,"1100038","Josef Heiss",1,8,"4","",9,0,47,8,28,4,2489,0,1,149,928,1,0,11,41,9,6,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,14,"40","",9,0,12,3,3,0,467,0,1,35,143,2,0,0,6,44,0,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,14,"40","",9,0,46,28,15,1,2552,2,2,117,862,4,2,10,44,6,9,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,14,"40","",9,1,4,0,0,0,89,2,0,12,26,0,0,0,0,12,0,NA,NA
"5",100026,"1100026","Marshall MacPherson",1,14,"40","",9,1,12,5,7,0,631,0,0,40,231,1,0,0,12,0,0,NA,NA
"6",100028,"1100028","Sven Andersson",1,4,"6","",9,0,45,34,10,1,2631,2,2,110,942,0,2,9,44,6,7,NA,NA
"6",100034,"1100034","Paul Hurowitz",1,4,"6","",9,0,9,3,2,0,384,0,0,33,118,0,0,0,6,44,0,NA,NA
"6",100028,"1100028","Sven Andersson",1,4,"6","",9,1,5,1,3,1,316,0,0,13,107,0,0,0,5,0,0,NA,NA
"7",100033,"1100033","Bob Brown",1,2,"7","",9,0,5,4,1,0,300,0,0,13,101,0,0,0,5,2,0,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",9,0,45,23,13,7,2590,4,1,111,897,2,0,14,44,6,8,NA,NA
"7",100037,"1100037","Karl Praller",1,2,"7","",9,0,5,0,2,0,147,0,0,15,44,0,0,0,1,42,0,NA,NA
"7",100027,"1100027","Tom Corcoran",1,2,"7","",9,1,17,9,8,0,1029,17,0,42,353,1,1,0,17,0,0,NA,NA
"9",100019,"1100019","Dave Vargo",1,1,"9","",9,0,1,0,0,0,41,0,0,3,12,0,0,0,0,33,0,NA,NA
