Player Name,Row Labels,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,
Jason Visser,12,145,47,72,119,-14,58,10,211,407,569,98,244,32,3623,9,21,30,87,361,0,0,0,5,388,9,3,4912,0,1,0,0,0,0,0,0
Matt Kholin,10,152,47,72,119,20,24,0,201,83,515,29,70,33,3414.533333,5,12,17,12,292.3333333,0,0,0,2,141.7833333,3,1,3017,0,0,0,0,0,0,0,0
Noro Wozy,10,102,46,48,94,19,17,5,63,169,411,100,244,18,2297,9,16,25,77,242,0,1,1,4,132,8,1,184,0,1,0,0,1,0,1,137
Zach Evans,10,121,46,69,115,42,50,10,209,276,425,51,189,22,2851,6,14,20,68,332,2,1,3,11,196,4,2,2888,1,0,0,0,0,0,1,380
Alexander Selich,14,200,45,81,126,53,57,5,163,100,547,55,168,182,3876.5,6,12,18,25,213.35,0,1,1,1,162.35,8,0,903,0,2,0,0,1,,,
Roman Augustus,14,157,45,71,116,3,70,10,203,268,466,122,308,110,3559,11,18,29,118,390,1,1,2,4,263,6,2,1170,0,0,0,0,1,,,
Bobby Sharp,13,173,44,84,128,23,31,5,159,62,544,45,97,149,3587.1,2,10,12,20,213.6333333,1,1,2,0,95.08333333,6,0,2375,0,0,0,0,0,1,4,832
Pietra Volkova,11,120,44,63,107,6,111,5,327,177,405,72,182,27,2548,7,20,27,66,289,0,0,0,2,113,8,2,243,1,1,0,0,0,2,1,1589
Raven Silverwing,9,110,44,49,93,14,64,20,60,206,434,6,12,28,2364,6,16,22,65,277,0,0,0,3,167,6,2,1062,0,3,0,0,2,0,,0
Julio Tokolosh,11,133,43,38,81,17,36,0,106,53,368,29,73,120,2516.65,6,7,13,14,248.5,1,0,1,3,80.78333333,6,1,170,0,1,0,0,0,0,0,0
Luke Thomason,12,100,43,61,104,1,47,5,184,164,367,75,189,40,2349.733333,6,19,25,42,200.85,1,2,3,5,195.6,3,0,2198,1,0,0,0,0,,,
Theo Kane,12,130,42,44,86,-30,28,0,182,191,400,14,30,28,2795,6,11,17,58,330,0,1,1,4,144,13,5,829,1,1,0,0,0,0,0,153
Crossfit Jesus,10,137,41,48,89,22,8,0,48,161,447,120,254,29,2730,6,10,16,55,236,0,0,0,3,182,9,1,200,0,1,0,0,0,0,0,195
Elijah Jones,9,101,41,36,77,11,22,0,86,29,302,22,50,42,2006.616667,11,7,18,6,173.3333333,0,0,0,0,31.26666667,7,1,164,0,0,0,0,0,0,0,282
Gunnar Soderberg,9,108,41,43,84,15,36,0,95,39,308,23,84,70,2039.833333,3,8,11,12,112.65,0,0,0,0,29.53333333,9,1,60,0,0,0,0,0,,,
Mikael Choybuk,14,124,41,31,72,-16,22,0,53,102,322,69,180,37,2304.383333,5,3,8,32,291.45,0,0,0,0,0,10,1,90,0,0,0,0,0,,,
Nicholas Williams,14,140,41,56,97,-2,45,5,105,118,425,70,186,66,2933.866667,8,11,19,51,299.0666667,0,0,0,3,160.4666667,7,5,1142,0,0,0,0,0,0,0,201
Kyle Kylrad,9,107,40,44,84,2,46,0,180,147,372,59,164,16,2067,6,15,21,61,271,0,0,0,0,36,7,1,426,1,1,0,0,0,0,0,64
Lord Pretty Flacko,10,94,40,61,101,-8,82,40,218,243,352,23,58,21,2327,6,16,22,59,248,1,0,1,5,197,5,3,1538,1,2,0,0,1,0,0,0
Shooter McGavin,14,139,39,59,98,9,19,5,53,140,389,120,267,34,2576.633333,5,22,27,85,275,0,1,1,6,212,8,2,149,0,0,0,0,0,0,,326
Teddy Cuddles,12,121,39,66,105,7,106,10,373,191,409,120,308,20,2642,13,22,35,79,309,0,0,0,3,157,6,4,198,0,0,0,0,1,0,0,493
Cory Knouse,14,133,38,51,89,-33,33,5,173,215,388,88,198,35,2834,6,17,23,53,281,1,0,1,5,284,4,2,254,0,2,0,0,1,0,,3
Dick Clapper,7,95,38,50,88,9,14,0,163,22,329,12,24,107,2026.933333,4,12,16,7,152.2666667,0,0,0,0,51.86666667,5,0,154,0,0,0,0,0,0,0,352
Jonathan Lundberg,13,150,38,77,115,0,162,10,538,323,493,36,96,33,3429,10,19,29,66,346,0,1,1,3,305,8,3,2921,0,0,0,0,1,0,0,29
Lallo Selman,7,81,38,34,72,15,19,0,29,13,265,7,24,52,1758.716667,4,11,15,7,131.6333333,0,0,0,0,43.88333333,2,0,30,0,1,0,0,0,,,
Nicholas Pedersen,14,161,38,56,94,-11,48,0,146,245,469,20,44,29,3399,7,14,21,65,424,0,2,2,4,217,3,2,1120,0,0,0,0,0,0,,0
VLAD McZehrl,6,65,38,42,80,13,31,15,73,174,334,0,0,21,1817,5,18,23,51,191,1,0,1,3,103,6,2,1311,0,0,0,0,0,0,0,1
Lil' Manius,12,134,38,46,84,-5,97,20,381,111,373,64,165,37,2828.566667,7,7,14,35,222.4,0,0,0,5,181.0333333,4,0,1060,0,0,0,0,1,3,4,78
TJ Bayley,8,104,37,37,74,18,15,5,83,99,313,84,221,15,1990,6,10,16,50,246,0,0,0,1,32,9,2,164,0,0,0,0,0,0,0,0
Aron Hernadivic,7,114,36,53,89,29,25,,108,,289,,,85,2233.916667,1,3,4,,53.51666667,1,1,2,,90.76666667,12,,208,,,,,0,0,0,0
Jimmy Slothface,12,119,36,62,98,-22,29,5,142,52,372,40,121,71,2564.6,4,13,17,28,218.0166667,0,0,0,1,93.23333333,8,0,1253,0,1,0,0,0,0,0,0
Leafer Rielly,10,122,35,60,95,-6,70,20,121,215,392,101,238,21,2309,4,14,18,71,255,1,2,3,2,181,9,1,1519,0,0,0,0,0,,,
Matthew Auston,11,107,35,42,77,9,26,0,76,179,341,95,207,20,2080,3,10,13,45,200,1,0,1,6,100,4,2,1291,0,1,0,0,0,0,1,0
Flacko Lagerfield,10,105,34,45,79,5,69,5,212,110,394,76,199,40,2266.483333,7,3,10,26,214.0166667,0,0,0,10,143.3166667,4,0,594,1,0,0,0,0,0,,0
Mainio Makinen,11,133,34,64,98,24,15,5,47,263,390,10,39,24,2740,6,16,22,70,283,0,1,1,7,229,10,2,2596,0,1,0,0,0,0,0,29
Nicky Pedersen Jr.,13,118,34,37,71,2,52,0,185,211,337,78,183,54,2463.566667,7,12,19,49,242.9833333,0,0,0,9,230.2166667,8,3,2440,1,0,0,0,0,3,3,14
Oliver Konig,12,128,34,63,97,4,32,10,78,244,404,120,256,50,2767,5,13,18,68,305,0,2,2,3,242,5,1,2203,0,0,0,0,1,0,0,0
Piotr Czerkawski,14,142,34,50,84,-29,57,5,245,211,447,91,302,35,3019.15,4,14,18,64,277.3333333,0,0,0,6,202.1166667,3,1,1547,0,0,0,0,0,0,0,0
Sebastian Strange,8,84,34,43,77,1,36,10,156,166,375,20,70,17,1852,5,10,15,71,240,0,0,0,0,33,6,4,1713,1,0,0,0,0,1,0,738
Damien Wert,8,78,33,44,77,34,14,0,64,145,371,6,10,20,1840,3,5,8,62,205,0,0,0,4,110,3,6,142,0,0,0,0,0,0,0,448
Kristian Eriksson,8,85,33,44,77,-5,34,0,195,130,378,4,12,18,1883,6,11,17,63,227,0,0,0,4,88,10,1,137,1,0,0,0,0,0,0,2
Luke Fleming,6,69,33,47,80,30,10,0,72,138,296,8,30,17,1543,3,8,11,39,182,0,0,0,2,59,6,2,1131,1,2,0,0,0,0,1,0
Pedro Sarantez,9,111,33,47,80,-5,17,5,79,173,397,0,0,13,2448,11,10,21,67,303,0,0,0,7,94,4,4,160,0,0,0,0,0,0,0,1
Phil Schenn,6,77,33,30,63,9,23,5,74,147,248,0,0,13,1553,6,9,15,38,200,1,1,2,1,65,6,1,156,0,1,0,0,0,,,
Philipp Winter,12,90,33,41,74,3,32,10,126,54,343,45,116,85,2081.15,3,7,10,26,189.7333333,0,0,0,4,125.0166667,6,1,153,0,0,0,0,0,0,0,77
Rainbow Dash,12,131,33,32,65,9,86,0,280,107,319,97,205,31,2544.616667,4,6,10,41,241.1333333,1,0,1,1,146.2333333,8,1,155,0,1,0,0,0,0,0,194
Shane Gagner,7,86,33,39,72,13,42,0,144,149,314,0,0,17,1957,4,5,9,47,198,1,0,1,5,106,6,1,915,0,1,0,0,0,0,,3
Alexey Kovalenko,6,83,32,23,55,8,126,40,265,109,301,0,0,24,1748,5,5,10,52,215,0,0,0,7,271,5,3,227,0,2,0,0,1,0,0,0
Michael Fox,12,119,32,38,70,-11,26,0,98,57,297,29,79,110,2372.566667,3,4,7,9,113.0833333,1,0,1,0,37.03333333,4,0,132,0,0,0,0,0,0,0,0
Olivier Cloutier,7,82,32,25,57,16,6,0,18,48,231,34,88,55,1764.05,6,5,11,18,179.5166667,0,0,0,2,92.85,7,1,147,0,0,0,0,0,0,0,56
Bobby Watson,6,69,31,23,54,32,14,0,87,112,256,75,214,27,1550,2,4,6,38,167,0,0,0,4,110,6,1,137,0,2,0,0,0,0,0,7
Dermot Lavelle,9,99,31,40,71,-5,23,15,59,188,308,102,236,18,2232,5,13,18,47,265,0,0,0,0,163,5,2,2465,0,0,0,0,1,0,0,4
Eko Van Otter,7,79,31,36,67,-5,16,0,102,18,258,13,21,68,1678.1,6,6,12,0,77.53333333,0,1,1,0,57.48333333,7,0,846,0,0,0,0,0,0,0,4
Maximilian Wachter,11,96,31,58,89,16,54,10,224,151,349,55,145,33,2207,4,14,18,55,280,0,3,3,6,253,7,0,172,1,1,0,0,1,0,0,11
Mikko Linna,11,91,31,55,86,16,48,20,98,228,360,69,176,19,2220,10,16,26,47,223,1,0,1,10,198,4,0,1521,0,0,0,0,0,,,
Yuri Boyka Jr.,8,78,31,31,62,3,23,5,74,170,236,52,140,7,1547,7,8,15,44,199,0,0,0,1,89,5,1,1669,1,1,0,0,0,0,0,0
Ace Redding,7,85,30,40,70,6,57,5,247,143,310,36,80,23,1905,9,14,23,60,260,0,0,0,4,150,6,1,809,1,1,0,0,1,0,0,0
Alex Mack,13,142,30,62,92,-24,40,20,63,275,329,24,66,18,2675,5,15,20,47,304,0,0,0,1,159,8,2,3070,0,0,0,0,1,0,2,778
Alex Winters,10,88,30,42,72,-12,18,0,66,111,293,78,163,55,1898.816667,2,11,13,34,148.25,0,0,0,1,117.9666667,7,0,383,0,2,0,0,0,1,,112
Esa Parmborg,11,90,30,26,56,-12,23,5,88,61,219,21,62,84,1596.916667,4,3,7,8,107.8666667,0,1,1,2,101.8333333,2,0,1322,0,0,0,0,0,0,0,0
Jaska Seppala,4,80,30,21,51,30,18,,63,,170,,,45,1314.533333,0,0,0,,11.88333333,0,0,0,,5.45,6,,45,,,,,0,0,0,0
Jean-Luc Reflieux,10,95,30,47,77,21,60,10,164,199,302,39,107,38,2023,2,10,12,51,259,0,0,0,5,204,8,0,2044,0,0,0,0,1,0,1,535
Manuel Gotze,8,78,30,34,64,-7,35,5,204,37,232,30,69,38,1745.466667,7,8,15,17,139.3,0,1,1,2,90.51666667,2,2,106,0,0,0,0,0,0,0,34
Nick Connolly,7,81,30,32,62,17,12,0,160,12,219,8,19,71,1596.016667,2,0,2,6,39.28333333,0,0,0,0,49.5,6,1,48,0,0,0,0,0,0,0,36
Angelo Odjick,10,88,29,42,71,-2,40,0,152,123,284,69,167,19,1879,2,11,13,40,215,2,0,2,3,133,5,1,167,0,0,0,0,0,1,0,0
Austin Roenick,10,83,29,36,65,13,20,0,87,47,266,45,118,43,1729.5,10,5,15,36,168.4666667,0,0,0,0,1.366666667,4,0,91,0,0,0,0,0,0,0,29
Barrett Blackwood,10,102,29,43,72,9,25,0,111,18,277,17,38,94,2059.5,4,6,10,2,119.1666667,0,0,0,0,9.283333333,5,1,44,0,0,0,0,0,0,0,0
Daniel Merica,5,68,29,25,54,0,46,10,124,201,290,0,0,18,1753,2,5,7,43,215,0,0,0,1,88,8,4,253,0,0,0,0,0,0,0,199
Dionyz Vyskoc,7,79,29,32,61,3,10,0,45,95,242,69,181,7,1584,7,10,17,47,229,0,0,0,1,13,5,1,119,0,0,0,0,0,0,,0
James Truong,12,138,29,48,77,-5,16,0,128,54,325,41,97,83,2580.75,0,6,6,4,87.63333333,0,0,0,0,53.2,7,1,164,0,0,0,0,0,1,3,0
Max Weber,13,176,29,96,125,-13,68,0,144,183,346,57,116,269,4291,18,23,41,158,433,0,2,2,6,421,8,1,0,0,0,0,0,0,0,0,0
Brady Mcintyre,18,183,28,92,120,-4,84,0,258,135,370,59,111,298,4349.783333,9,17,26,100,371.2333333,0,0,0,3,321.7,3,1,0,0,0,0,0,0,0,,0
Halfdan Thorstein,12,111,28,44,72,-8,20,0,61,126,356,55,131,33,2454,5,9,14,53,254,0,0,0,3,161,5,0,243,0,2,0,0,0,0,0,0
Jax Aittokallio,12,100,28,39,67,-28,14,0,61,178,321,61,169,54,2316.016667,3,7,10,26,171.75,0,0,0,9,228.75,2,2,2644,0,0,0,0,0,0,0,0
Joshua Woodcroft,9,89,28,32,60,10,26,0,109,87,267,66,200,10,1712,7,12,19,47,227,0,0,0,1,31,6,2,131,0,0,0,0,0,0,0,1
Luke Atmey,6,56,28,25,53,3,12,0,84,132,252,39,113,10,1291,6,3,9,39,132,0,0,0,4,66,8,1,1040,0,0,0,0,0,0,0,0
Tommy Creller,6,94,28,54,82,16,16,0,87,193,295,0,0,12,2169,5,16,21,57,314,0,0,0,3,117,2,4,1142,1,0,0,0,0,0,0,0
Dale Miller,8,105,27,41,68,20,14,0,84,26,248,35,71,27,2182.683333,1,3,4,17,97.7,0,0,0,1,109.3,7,0,206,0,0,0,0,0,0,0,0
Ivan Koroviev,6,67,27,28,55,-19,12,10,44,118,235,0,0,12,1646,7,6,13,34,196,0,0,0,1,38,4,4,128,0,0,0,0,1,0,0,1
Ola Wagstrom,9,66,27,22,49,4,16,0,62,47,217,33,82,31,1345.366667,9,2,11,19,101.1166667,0,0,0,2,63.01666667,3,0,51,0,0,0,0,0,0,0,14
Samuel Michaud,10,135,27,39,66,1,30,0,232,21,259,9,20,190,2717.683333,6,9,15,2,150.45,0,2,2,0,130.85,6,0,2,0,0,0,0,0,0,1,1019
Chris McZehrl,6,74,26,34,60,11,63,35,107,207,266,0,0,29,1915,5,14,19,37,223,1,0,1,8,301,4,2,1768,0,0,0,0,2,0,0,302
Conklin Owen,8,77,26,20,46,-5,31,5,48,110,235,33,67,17,1555,4,4,8,49,164,0,0,0,2,98,4,1,654,0,1,0,0,0,0,0,10
Gabriel Wong,9,116,26,46,72,18,28,10,108,247,265,74,221,15,2179,4,7,11,45,231,0,2,2,4,132,5,2,2701,0,0,0,0,0,0,0,0
Geoffrey Allen,6,65,26,24,50,7,8,0,46,89,248,0,0,10,1574,2,5,7,42,174,1,1,2,4,157,1,2,188,0,1,0,0,0,0,0,0
Kian Hamilton,6,62,26,31,57,6,15,5,51,158,273,0,0,14,1611,6,8,14,36,160,0,1,1,10,130,5,1,2137,0,1,0,0,0,0,0,0
Lyndis Vakarian,9,67,26,22,48,4,6,0,57,71,233,46,160,21,1322,0,4,4,28,110,0,0,0,2,110,5,0,112,0,2,0,0,0,1,0,0
Nathan Russell,9,114,26,37,63,17,163,25,295,217,242,0,0,25,2313,10,5,15,45,233,0,0,0,4,250,5,3,2129,0,0,0,0,0,1,0,18
Nikolaus Scholz,9,95,26,34,60,-10,26,10,71,209,263,34,89,21,1905,4,9,13,33,162,1,0,1,2,158,2,2,1983,0,1,0,0,2,,,
Schnitinfritz Jagr,8,90,25,37,62,11,25,15,33,179,190,0,0,14,1738,1,5,6,18,161,0,0,0,2,141,6,2,1328,0,0,0,0,1,0,0,20
Martijn  Westbroek,7,81,25,37,62,9,20,0,103,26,244,12,27,74,1750.966667,6,5,11,4,140.9333333,0,0,0,1,61.9,9,0,1679,0,0,0,0,0,0,0,0
Barry Batsbak,13,108,24,48,72,-1,31,15,67,129,256,42,92,59,2027.033333,4,9,13,13,201.7833333,0,0,0,0,103.7833333,2,0,1948,0,0,0,0,2,0,0,11
Chernika Banananov,6,60,24,13,37,-5,10,0,49,89,182,0,0,8,1141,2,3,5,20,110,0,0,0,1,22,6,1,511,0,1,0,0,0,0,0,0
Karsten Kadinger,9,116,24,27,51,17,36,0,92,66,154,49,86,108,2198,7,7,14,66,293,0,1,1,0,95,4,0,0,0,1,0,0,0,0,1,1
Maxime Bouchard,13,114,24,75,99,13,66,40,92,93,331,76,170,48,2412.75,3,16,19,30,284.5666667,0,0,0,1,81.98333333,4,0,217,0,0,0,0,1,0,0,0
Gabriel Johnson,9,115,23,50,73,-1,19,0,138,22,360,14,50,235,2627.666667,5,9,14,19,259.9833333,0,1,1,1,124.85,2,1,2,0,0,0,0,0,0,,0
Jed Lloren,11,81,23,40,63,-5,44,20,48,135,230,2,9,26,1787,5,10,15,42,200,0,0,0,3,133,3,0,130,0,0,0,0,0,0,0,12
Magnus Jakobsen,5,64,23,28,51,12,30,0,92,114,199,0,0,10,1280,2,12,14,36,179,1,0,1,1,81,8,0,133,0,0,0,0,0,0,0,0
Mika Mayfield,6,74,23,33,56,8,8,0,70,53,235,30,60,56,1575.4,3,3,6,12,123.4333333,0,0,0,1,80.61666667,3,2,875,0,0,0,0,0,0,0,0
Tor Tuck,19,214,23,78,101,-31,250,55,446,160,340,56,122,297,4527.616667,11,18,29,103,332.0166667,0,1,1,1,344.4166667,1,0,0,0,0,0,0,3,0,0,35
Chris York,8,70,22,26,48,-3,32,0,156,115,258,27,95,22,1545,2,8,10,37,157,0,0,0,2,65,6,1,499,0,0,0,0,0,0,0,0
Dayymo Ralchankinov,7,90,22,19,41,4,21,5,72,97,175,51,141,11,1414,3,2,5,10,45,0,0,0,0,18,2,0,746,0,0,0,0,1,0,0,241
Evandrus Jesster,5,60,22,23,45,-2,35,25,37,143,205,0,0,14,1379,3,7,10,28,158,0,0,0,1,103,3,2,1784,0,0,0,0,1,0,0,0
Ivo Willems,5,56,22,20,42,5,6,0,26,102,175,0,0,15,1376,6,4,10,27,179,3,2,5,7,154,3,0,177,0,0,0,0,0,0,0,0
Kevin Hamilton,7,80,22,32,54,-7,55,15,236,89,245,60,160,21,1661,7,9,16,37,177,0,0,0,4,140,6,2,102,0,0,0,0,1,1,0,0
Nour Harrak,9,76,22,25,47,-2,10,0,33,65,212,57,130,30,1384,2,6,8,19,105,0,0,0,0,48,3,1,79,0,0,0,0,0,,,
Otis B. Driftwood,17,151,22,64,86,8,236,20,381,125,182,38,82,210,3349.4,11,10,21,73,253.4166667,1,3,4,3,307.5666667,5,0,5,0,0,0,0,0,1,0,1307
Pierre-Luc Laflamme,9,109,22,35,57,12,32,0,134,122,211,0,0,66,1941,5,9,14,34,205,0,0,0,0,90,7,1,80,0,0,0,0,0,0,0,36
Zanarkand Abes,11,91,22,35,57,-7,24,0,112,119,269,41,127,16,1736,3,8,11,32,152,0,1,1,7,136,1,0,125,1,1,0,0,0,0,1,0
Adam Kylrad,7,69,21,27,48,1,35,5,96,174,238,0,0,3,1515,5,6,11,46,221,0,1,1,2,116,4,2,1404,0,0,0,0,1,1,2,0
Harry Hans,4,56,21,32,53,13,6,0,28,100,211,0,0,20,1347,4,10,14,34,153,0,1,1,1,106,3,2,113,0,0,0,0,0,0,0,6
Jay McDonald,4,43,21,21,42,9,41,,62,,198,,,19,,,,,,,,,,,,,,,,,,,,0,0,321
Joe McKeil,5,64,21,40,61,15,61,5,200,224,238,0,0,18,1596,5,12,17,51,199,2,1,3,5,196,3,1,2128,1,0,0,0,0,0,0,544
Jon Forty-One,8,88,21,40,61,27,18,0,90,12,283,1,14,68,1911.233333,2,2,4,4,100.8166667,0,0,0,0,80.11666667,4,0,1683,0,0,0,0,0,0,2,16
Ludwig Koch Schroder,13,143,21,76,97,3,94,0,245,181,293,76,167,208,3618,13,22,35,140,396,0,3,3,2,322,4,2,0,0,0,0,0,0,,,
Tim Buckner,7,93,21,26,47,16,56,0,246,95,260,0,0,20,1695,2,1,3,21,78,0,0,0,3,129,4,1,144,0,0,0,0,0,,,
Wyatt Wollker,7,81,21,51,72,4,64,20,79,118,233,15,31,152,2099,9,18,27,110,246,1,0,1,2,191,2,2,1,0,0,0,0,1,0,,0
Xavier Paquette,7,90,21,30,51,-5,26,10,20,76,209,84,167,16,1400,4,5,9,39,171,0,0,0,1,25,3,1,120,0,0,0,0,0,0,0,15
Karlstrasse Scholz,13,140,21,58,79,14,32,0,209,44,339,32,70,237,3362.666667,4,5,9,32,305.5666667,0,0,0,0,219.0666667,3,0,0,0,0,0,0,0,0,0,97
Chico Salmon,6,74,20,28,48,2,8,0,68,143,179,0,0,15,1547,5,12,17,44,236,0,0,0,1,102,2,4,1193,1,0,0,0,0,0,0,0
Eduard Selich,7,41,20,7,27,-13,6,0,35,70,156,14,36,6,969,3,3,6,23,121,2,0,2,5,86,1,1,606,1,1,0,0,0,1,2,0
Hunter Jones,9,95,20,39,59,-1,9,5,33,112,231,70,167,21,1995,2,6,8,29,198,0,1,1,1,137,3,0,138,0,0,0,0,0,0,0,21
Jean-Paul Boivin,9,111,20,25,45,-4,28,0,166,3,253,2,7,72,1746.916667,1,1,2,0,35.86666667,1,0,1,0,95.01666667,2,0,125,0,0,0,0,0,,,
Mikael Talo,8,105,20,34,54,5,15,5,16,135,260,0,0,15,1634,0,0,0,1,11,1,0,1,1,12,4,2,1651,0,1,0,0,0,0,0,0
Mr. Feeny,5,47,20,11,31,2,23,5,67,53,139,0,0,18,1053,4,6,10,34,155,2,1,3,4,92,2,0,118,0,0,0,0,0,0,0,0
Nicholas Owens,7,114,20,47,67,40,28,,150,,256,,,248,2383,0,1,1,,50.18333333,1,2,3,,89.55,6,,0,,,,,0,0,0,22
Skao Anazibf,10,135,20,43,63,9,43,5,100,28,280,6,19,22,2451.55,1,2,3,4,73.8,0,0,0,0,100.9833333,5,0,1507,0,0,0,0,0,0,0,21
Adam Kaiser,14,136,19,62,81,-19,112,0,271,135,256,67,120,169,3156,11,13,24,114,346,1,0,1,1,245,0,2,0,0,0,0,0,0,0,0,0
Alonzo Garbanzo,13,120,19,75,94,-12,87,5,212,183,238,33,65,202,3079,6,17,23,111,347,0,0,0,0,219,5,1,0,1,0,0,0,0,,,
Arthur Grosberg,5,61,19,19,38,24,32,0,80,79,134,0,0,7,1163,2,2,4,14,86,0,0,0,1,100,4,0,69,1,1,0,0,0,0,0,0
Daniel Smeb,8,90,19,49,68,5,33,5,136,46,285,19,38,58,2031.066667,4,7,11,10,164.7333333,1,0,1,3,115.0333333,3,0,764,0,0,0,0,0,0,0,716
David Winter,6,71,19,30,49,-1,50,0,196,155,229,0,0,10,1651,3,13,16,44,217,2,2,4,6,222,5,2,1609,0,0,0,0,0,,,
Geronimo Otto,3,41,19,23,42,7,14,10,34,111,98,0,0,9,968,6,10,16,23,102,1,0,1,2,157,1,3,1382,0,0,0,0,0,,,
Hiro Fujikawa,7,67,19,24,43,-5,18,10,82,41,197,27,70,23,1341.916667,2,3,5,17,116.6833333,0,0,0,0,10.65,4,0,89,0,1,0,0,0,1,2,66
Hugh Jazz,10,135,19,55,74,33,47,5,174,28,337,24,43,127,2458.75,3,5,8,16,137.1833333,0,1,1,0,47.51666667,1,0,83,0,0,0,0,1,0,0,2
