Player Name,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,,
Darian Scherbluk,22,1107,178,575,753,174,1387,415,1836,1792,1900,85,92,1198,25319,86,132,218,1036,3321,2,11,13,21,2967,31,13,8,3,2,7,22,13,0,0,0
Tor Tuck,21,1082,135,516,651,148,1054,170,2167,905,1714,327,625,1375,22671.05,53,95,148,518,1772.066667,0,7,7,9,1925.333333,21,11,1,2,0,11,30,14,1,2,331
Jed Lloren,25,1057,336,491,827,149,510,90,1241,1902,3292,47,76,311,23822,74,129,203,612,3102,3,5,8,45,2337,56,32,2374,0,5,9,28,4,0,0,0
Bubba Nuck,23,1055,161,511,672,131,1213,85,2330,1266,1950,75,172,1322,24452,62,106,168,749,2537,0,6,6,15,2347,29,8,2631,3,0,9,16,3,0,0,1189
Terrance Nova,21,1050,437,569,1006,153,394,50,1246,2061,4071,626,1756,239,24798.21667,80,130,210,673,2833.75,5,0,5,50,1409.083333,67,34,15117,9,13,25,104,5,0,5,0
Nikolaus Scholz,21,1050,302,508,810,15,205,85,655,2511,3301,195,522,256,23320,42,108,150,438,2365,4,7,11,51,1810,49,24,23498,6,2,20,59,6,4,5,4620
Ludwig Koch Schroder,21,1050,178,563,741,90,564,20,1379,1259,2142,408,851,1648,25789,88,130,218,971,2707,2,3,5,19,2360,20,10,8,3,2,14,60,1,0,0,11
Alexis Metzler,21,1050,154,543,697,-23,671,15,1578,1233,1709,337,687,1529,24235,69,117,186,777,2307,0,9,9,15,2376,18,8,0,2,2,9,23,0,2,,0
Alex Mack,21,1050,218,419,637,22,331,185,526,1977,2365,145,358,177,19431,45,119,164,364,2241,3,3,6,22,1136,45,11,19800,2,0,2,3,6,1,2,157
Randy Randleman,21,1037,389,437,826,174,557,135,1451,1746,3342,145,355,224,20275,82,106,188,602,2438,5,5,10,46,1838,64,25,12823,10,9,28,73,7,6,7,6553
Willie Weber,21,1015,188,450,638,35,1431,175,3169,1524,1572,57,66,1190,23328,103,113,216,825,2866,1,7,8,20,2647,31,20,5,2,0,6,31,5,0,0,0
David Winter,21,1009,394,485,879,275,1054,250,2212,2225,3127,184,342,231,21992,89,126,215,538,3029,12,14,26,75,2464,74,18,15311,3,7,21,84,8,6,14,15
Elyk,20,1008,191,227,418,-8,86,10,299,762,1839,0,0,75,14812,42,69,111,330,1909,3,0,3,21,759,25,13,1088,1,1,20,58,0,0,0,0
Pedro Sarantez,21,1007,387,449,836,156,284,40,864,1833,3517,0,0,186,23079,70,117,187,589,2913,6,4,10,39,1606,71,31,7440,6,7,21,76,2,1,0,0
Adam Kylrad,23,1005,354,422,776,75,359,65,1079,2037,3366,0,0,198,22581,75,124,199,605,2948,2,4,6,55,1574,52,25,8741,4,6,26,86,3,1,1,0
Robert Phelps,20,1000,391,597,988,231,534,105,1586,2103,3653,684,1828,381,22169.91667,76,161,237,467,2415.633333,3,2,5,41,1657.233333,52,16,25804,3,7,17,62,3,0,,0
Trevor Wilson,20,1000,341,412,753,151,287,35,905,1334,3300,616,1502,227,19914,52,89,141,459,1886,1,4,5,46,1434,45,19,1539,7,6,11,37,2,0,,37
Jack Durden,21,999,287,494,781,89,189,45,572,1831,3002,252,670,358,21332,59,107,166,476,2199,3,5,8,53,1927,41,20,8705,8,1,9,32,2,0,0,0
Jonathan Lundberg,23,999,262,441,703,101,968,130,3173,1899,2951,309,883,243,21597,36,119,155,426,2179,4,1,5,60,2145,54,11,15894,5,1,6,13,10,0,0,5
Vidrik Onoprienko,19,958,267,395,662,66,625,115,1546,1592,2259,0,0,197,19094,51,110,161,364,2271,3,0,3,34,2083,38,12,10349,10,6,20,81,3,4,9,0
Chester Cunningham,20,957,238,407,645,43,866,210,1937,2122,2514,0,0,225,19557,49,108,157,458,2467,6,5,11,59,2588,47,18,21262,4,1,15,50,7,0,0,0
Barney Stinson,23,957,128,462,590,-15,1353,105,2704,1232,1337,0,0,1300,22707,69,127,196,756,2551,1,3,4,7,1993,27,9,14,1,2,2,6,8,0,0,0
Pierre-Luc Laflamme,19,956,244,347,591,63,451,55,1158,1126,2471,0,1,365,18992,49,95,144,483,2399,3,3,6,25,1148,40,17,1225,1,3,19,67,3,4,2,0
Shawn Velevra,20,953,209,456,665,-30,937,225,1327,1407,2177,0,0,1115,23665,88,116,204,940,2883,2,11,13,17,2439,33,16,260,1,2,3,10,7,2,6,970
Big Manius,19,952,187,397,584,123,1434,230,2302,1086,1869,47,111,1274,21174,81,99,180,781,2395,2,7,9,24,2011,23,12,11,2,2,6,8,12,0,0,0
Michael Boychuk,19,952,86,472,558,147,522,30,1025,1108,959,17,32,1034,20879,45,98,143,457,1964,2,7,9,11,1828,15,4,31,1,0,0,10,1,3,14,3514
Jason Visser,19,950,379,559,938,288,404,90,1249,2407,3558,559,1597,201,21834,53,120,173,476,2249,8,4,12,83,2190,56,28,28962,10,5,21,78,5,0,0,68
Mike Izzy,19,950,360,448,808,179,1076,140,3585,1834,3434,709,1905,293,20829.38333,58,103,161,441,2044.383333,7,12,19,61,1796,53,18,18337,3,4,19,68,6,5,2,0
Maximilian Wachter,19,950,279,454,733,40,803,105,2572,1398,3073,302,753,228,20104,43,113,156,462,2290,7,2,9,63,1866,38,21,1578,5,4,24,86,6,7,21,0
Mainio Makinen,19,950,249,329,578,67,148,60,293,1387,2571,91,243,131,15511,42,88,130,376,1857,3,5,8,29,1065,36,12,14327,5,3,15,42,2,4,18,3106
Armin Brovalchuk,23,945,309,451,760,89,538,250,485,2345,2685,97,208,259,20800,68,132,200,498,2772,3,1,4,45,1948,57,29,20882,2,3,22,78,9,8,23,10330
Ivo Willems,20,943,356,418,774,196,361,115,820,1684,3174,108,175,209,20762,77,129,206,565,2750,12,7,19,91,2541,68,24,3077,2,10,35,93,3,1,0,88
DeMaricus Smyth,18,932,260,369,629,169,925,175,2153,1177,2682,548,1390,625,18346.28333,40,74,114,316,1755.983333,1,3,4,27,1044.1,45,15,9462,2,4,11,40,16,0,,2
Brady McIntyre,18,932,131,458,589,137,576,0,1363,658,1929,290,602,1412,20810.8,44,87,131,433,1787.916667,1,4,5,8,1587.666667,18,8,2,2,1,5,35,0,0,0,0
Dean Colt,20,931,156,319,475,-7,912,150,2094,1942,1658,0,0,178,17872,28,97,125,262,1870,2,4,6,38,2350,23,23,20588,0,3,13,32,4,7,16,85
Yousuf Scherbluk,19,930,297,454,751,140,578,140,1338,2399,2472,117,211,187,20308,55,133,188,439,2646,11,7,18,56,2559,45,18,23090,2,5,13,32,8,1,1,1031
Zander Rhys,19,921,173,468,641,-23,629,5,1674,1063,1889,417,902,1364,21085,75,106,181,791,2239,2,1,3,13,1649,23,16,3,3,1,1,4,0,1,1,352
Liam O'Callaghan,18,916,122,373,495,-226,518,40,924,730,1517,387,855,1692,20522.13333,53,91,144,629,1995.866667,3,5,8,5,1846.816667,14,9,0,2,0,4,11,3,0,0,0
Chico Salmon,19,909,254,412,666,139,439,165,1088,1780,2447,0,0,199,19812,51,130,181,427,2544,3,7,10,28,1838,43,13,15688,3,2,9,35,8,2,3,458
Zallerras Szlerchek,18,908,295,423,718,124,1128,360,2256,2401,2729,0,0,255,20577,53,117,170,473,2543,8,5,13,69,2822,43,23,22534,5,2,24,78,23,1,0,6518
Mikko Koskinen,19,908,82,348,430,26,943,115,1614,865,861,0,0,986,18327,50,82,132,493,1930,1,4,5,8,2183,17,6,16,1,0,0,4,6,2,5,72
Grigori Pajari,19,907,247,257,504,100,861,165,2217,1132,2166,74,133,151,17202,49,68,117,372,2359,5,2,7,37,1171,41,18,2882,3,2,22,62,6,11,7,2
Alex Light,18,900,331,395,726,120,402,140,1144,1270,3131,525,1493,181,19526,62,93,155,518,2249,2,1,3,29,870,47,24,6151,5,2,21,66,5,1,2,2868
Corey Bearss,18,900,279,396,675,220,375,45,1398,1250,2638,395,1055,206,18650,39,80,119,330,1831,5,5,10,32,1684,44,17,1690,4,4,4,13,1,1,5,6258
Jasper Clayton,18,900,132,527,659,74,598,30,1315,1223,1622,115,224,1199,21075,67,122,189,883,2512,1,6,7,10,1876,23,13,1,0,0,5,33,1,0,0,37
Patrikov Bure,18,900,282,359,641,81,414,40,1451,1302,2615,112,297,173,18845,56,84,140,438,2132,5,7,12,47,1380,53,22,1526,2,9,3,9,0,0,0,0
Jack Tanner,18,900,160,392,552,-147,425,165,580,867,1758,453,1010,1214,19262.78333,62,114,176,668,1964.133333,3,7,10,19,1662.416667,27,5,0,4,0,10,35,13,0,,588
Charles Walker,18,900,141,341,482,56,499,65,941,836,1432,362,687,1212,18636,56,62,118,580,1567,0,5,5,13,1659,20,9,1,2,0,3,6,5,3,0,1709
Lord Pretty Flacko,19,899,388,468,856,85,526,160,1596,1974,3788,182,500,230,21084,72,106,178,568,2470,6,3,9,48,1146,66,24,8577,6,7,20,61,9,0,0,0
Sophia Bennett,19,899,344,436,780,108,406,10,1411,1167,3285,741,1832,268,19192.58333,64,107,171,488,2173.066667,4,3,7,33,1024.9,49,24,1576,5,5,23,75,1,0,0,7
Vladislav Smirnov,19,895,93,315,408,146,1016,230,1645,1209,838,130,174,931,18894,37,61,98,332,2161,1,9,10,6,1773,22,3,0,2,0,0,0,6,2,,14
Ben Dover,18,893,207,493,700,-44,530,30,1376,1258,2150,342,618,1405,22532,93,115,208,915,2239,3,3,6,20,2140,23,14,37,5,5,14,66,0,0,0,0
Anders Christiansen,18,882,249,435,684,151,461,85,1089,1309,2621,540,1344,381,18289.08333,30,86,116,280,1562.616667,8,8,16,44,1629.083333,44,6,13568,4,1,5,14,5,3,9,7484
Manuel Gotze,17,882,270,377,647,-1,633,20,2474,786,2722,487,1310,418,19864.75,61,87,148,256,1901.983333,4,5,9,30,1573.45,43,15,1851,3,3,11,43,1,2,1,761
GOD McZehrl,18,882,188,326,514,-15,410,40,1038,752,1961,368,868,767,18663.6,32,61,93,317,1550.1,3,4,7,21,1283.883333,36,5,4692,0,2,4,15,2,0,0,0
Otis B. Driftwood,17,882,90,401,491,214,886,15,2214,638,1117,193,417,1164,19001.91667,41,60,101,310,1136.9,2,3,5,8,1808.433333,9,5,15,1,0,1,4,5,1,0,0
Cleo Green,19,876,3,4,7,-15,14,0,32,23,61,2,5,7,1063,1,0,1,3,71,0,0,0,0,177,0,0,53,0,0,0,0,0,0,0,0
Bojo Biscuit,17,858,94,467,561,56,1473,295,1945,1149,1218,0,0,1120,20584,50,102,152,649,2289,0,7,7,9,2387,12,5,15,3,0,0,4,12,1,0,1
Liam Kinsler,17,858,239,321,560,16,357,75,1142,1626,2226,0,0,144,16219,48,84,132,378,2008,3,4,7,25,1026,41,21,16362,4,3,8,28,1,3,5,81
Jhonas Skarsgaard,17,858,195,283,478,85,897,115,2104,1049,1984,0,0,482,16808,49,62,111,441,1797,2,4,6,28,1671,37,16,2289,4,0,17,54,5,0,0,0
Mark Longford,17,858,217,233,450,-53,351,35,1028,969,2121,0,0,171,14898,43,45,88,277,1711,1,0,1,5,228,33,20,1072,3,2,9,22,0,0,,28
Benjamin Reid,17,858,121,319,440,-9,454,80,696,913,1316,0,0,1028,18352,64,103,167,661,2344,1,6,7,21,2365,23,9,0,1,0,8,27,2,0,0,0
Claude Perron,17,858,124,279,403,-29,337,75,639,1119,1377,0,0,435,16333,31,60,91,272,1647,3,3,6,23,1411,12,10,779,3,2,6,16,2,5,17,398
Ales Smirnov,19,857,210,389,599,49,500,50,1014,1144,2094,0,0,410,17609,48,89,137,448,2039,1,7,8,24,1798,25,7,2274,7,2,6,13,1,0,1,6
Blake Sherrill,18,857,212,212,424,34,244,30,576,911,2082,0,0,115,13631,54,63,117,410,1873,4,2,6,36,1162,32,14,1167,2,3,12,30,2,0,0,0
Arthur Grosberg,18,855,218,223,441,-2,334,20,1211,1029,2008,0,0,116,16206,38,60,98,343,1900,4,0,4,28,1018,32,10,1119,3,2,13,42,1,3,6,0
Laraque Obama,18,855,181,207,388,38,522,130,1257,658,1341,178,378,129,10586,37,58,95,258,1404,5,0,5,26,723,25,6,988,0,1,3,9,3,0,0,0
Kian Hamilton,19,854,315,428,743,86,234,110,493,2174,3030,0,0,184,19003,44,113,157,412,1939,1,3,4,35,1224,47,13,23573,1,7,16,30,5,0,0,46
Jorma Ruutu,17,854,160,356,516,24,811,35,2305,1216,1659,0,0,367,16781,25,62,87,243,1107,5,6,11,39,2083,18,7,1012,4,1,2,7,1,1,0,7
Wyatt Wollker,18,852,165,469,634,-18,515,175,875,1069,1900,92,210,1198,21483,68,98,166,790,2203,2,3,5,19,1960,22,12,1,3,1,10,22,5,0,0,0
Klaus Wagner,17,852,101,373,474,17,138,0,311,939,1081,10,18,1077,18066,42,86,128,518,1663,0,1,1,10,2068,20,7,2,3,0,0,0,0,0,0,0
Luke Atmey,19,851,364,436,800,49,449,55,1466,1664,3564,623,1545,219,19295,61,97,158,536,2113,5,1,6,41,1448,45,22,9010,5,11,12,60,1,9,16,2
Lukas Johnson,18,851,77,381,458,65,452,20,944,865,857,3,6,1025,18897,48,73,121,456,1973,2,6,8,8,2072,12,5,0,1,0,2,11,2,0,0,40
Cory Knouse,17,850,278,385,663,118,323,15,1227,1391,2748,500,1246,202,18126,44,100,144,399,1931,3,3,6,43,1436,43,11,1477,8,5,12,41,2,1,,0
Max Weber,18,850,162,456,618,157,334,0,785,937,1658,290,638,1214,20247,70,94,164,750,2142,1,8,9,14,2099,18,10,0,3,1,2,8,0,2,1,239
Hercules Rockefeller,17,850,270,325,595,157,206,20,709,1128,2475,553,1412,197,17275.66667,40,72,112,355,1982.966667,4,4,8,31,930.1,43,13,10408,2,2,11,29,0,4,7,173
Chuck Bernstein,17,850,0,1,1,0,0,0,2,0,1,0,1,0,23,0,1,1,0,2,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,4
Ace Redding,19,849,307,365,672,41,502,30,2080,1569,3008,325,905,186,18286,50,76,126,419,1849,2,1,3,32,1205,57,14,9901,4,6,7,26,1,2,9,6928
Fife Gibbs,19,849,10,168,178,53,665,35,1291,570,172,5,8,813,12606,0,5,5,10,116,0,3,3,1,1411,1,1,0,1,0,0,0,1,0,0,0
Conklin Owen,18,848,278,293,571,-2,177,45,691,1424,2548,413,993,170,17116,46,80,126,359,1713,3,3,6,27,1212,47,16,9117,3,5,10,49,3,0,0,4070
Don Pellegrino,19,846,246,299,545,-42,171,45,451,1168,2446,82,180,189,16397,46,61,107,397,2005,2,0,2,15,454,31,14,1382,3,5,8,27,0,0,0,48
Travis Kudleychuk,19,844,195,327,522,-61,189,65,580,1950,2036,45,98,191,16957,25,85,110,252,1565,3,5,8,26,1483,22,10,20598,5,3,3,24,1,3,6,1
Piotr Czerkawski,16,832,287,402,689,159,400,55,1424,908,2699,495,1245,289,17182.31667,54,83,137,239,1536.35,4,3,7,32,883.95,29,7,7320,4,3,2,6,3,2,3,37
Drizzy Drake,17,828,98,336,434,59,556,110,1057,1117,1112,31,29,867,17349,34,88,122,523,1868,0,6,6,9,1444,21,10,6,0,0,3,6,3,0,0,12
Jon Toner,16,816,127,372,499,127,417,15,1017,694,1505,298,662,1073,17744.73333,50,77,127,448,1597.116667,0,7,7,5,1281.433333,22,5,0,3,0,1,1,2,6,6,1
Reginald MacIntyre,16,816,89,304,393,10,555,10,1429,663,1217,240,468,1081,17377.36667,19,44,63,246,927.4166667,1,4,5,14,1644.733333,12,0,10,0,1,0,2,0,0,0,1433
Adam Kaiser,17,810,138,401,539,78,643,35,1416,824,1426,301,616,1080,17981,64,93,157,630,1884,2,4,6,11,1517,21,12,0,2,1,12,20,0,5,13,6061
Carter O'Callahan,17,809,268,385,653,51,1049,135,2689,1874,2507,0,0,181,18070,47,138,185,456,2488,5,2,7,29,1493,48,16,15065,5,3,28,79,6,0,,246
Nathan Russell,16,808,220,392,612,166,954,130,2251,1585,2125,0,0,199,17165,48,104,152,396,2122,7,6,13,41,2038,34,12,14457,2,3,8,38,5,3,16,0
Phil Schenn,16,808,288,324,612,188,387,35,834,1114,2349,64,122,128,14758,63,100,163,445,2167,1,1,2,17,804,55,22,2352,1,11,10,36,2,0,0,0
Maxim Horvat,19,808,222,348,570,74,428,130,866,1695,2194,0,0,382,17899,50,86,136,465,2053,3,5,8,28,1495,34,12,12316,3,2,7,33,6,0,3,177
Miles Berger,18,808,200,318,518,-17,430,90,1018,1837,1865,0,0,206,16755,43,92,135,321,2088,1,7,8,21,1521,36,14,18422,2,1,7,18,1,1,0,1
Nicholas Flamel,16,808,160,212,372,-14,284,80,576,907,1728,0,0,155,13893,21,45,66,238,1344,3,3,6,26,1266,32,9,929,3,2,2,10,4,0,1,0
Bryan Whisonant,16,808,139,145,284,-72,555,45,1199,650,1376,62,109,80,12753,29,37,66,223,1299,0,0,0,14,754,18,9,920,2,2,10,18,0,1,0,458
Peter Parker,16,808,24,138,162,40,277,15,576,371,328,0,0,507,9847,13,10,23,106,556,0,4,4,4,1208,5,4,8,0,0,14,39,0,2,2,226
John Langabeer,19,806,165,215,380,12,140,30,271,923,1793,52,105,146,12881,35,44,79,253,1277,0,1,1,7,289,24,10,971,0,1,2,9,1,0,0,1016
Slappy McDoodle,16,802,152,282,434,39,852,90,2368,1441,1712,0,0,166,15453,25,60,85,227,1218,0,1,1,20,1486,21,10,14057,2,0,1,1,5,0,0,0
Jack Burton,18,802,141,285,426,46,703,35,1506,906,1287,32,77,752,17100,27,45,72,268,1181,5,3,8,19,1795,18,10,1761,0,0,4,17,1,0,0,241
Jordan McArthur,19,802,141,260,401,-78,712,120,1161,900,1090,178,350,427,14073,33,61,94,247,1436,0,1,1,1,663,19,11,3592,1,4,2,11,5,0,1,467
Schnitinfritz Jagr,16,802,150,236,386,79,335,165,441,1341,1702,0,0,147,13976,14,41,55,171,1113,2,3,5,18,1091,21,9,12223,0,2,0,0,5,2,0,141
Fernando Pergher,16,802,16,172,188,77,478,50,836,537,180,0,0,778,12161,0,2,2,8,34,0,4,4,6,1747,4,1,1,0,0,1,1,1,11,14,8
Ivan Koroviev,18,801,224,305,529,-7,138,20,464,1153,2294,47,126,125,16889,36,74,110,318,1782,1,1,2,15,698,33,18,1385,1,3,1,10,1,8,4,99
Connor O'Reilly,17,801,52,378,430,-33,773,195,1351,1059,708,0,0,1185,18235,33,63,96,378,1708,0,8,8,6,2100,13,2,6,1,0,0,2,11,0,4,63
Sami Owens,17,801,122,308,430,45,270,20,572,701,1230,396,695,1124,17427,36,56,92,436,1254,2,1,3,16,1521,18,7,6,0,1,6,20,0,0,0,0
Damien Wert,16,800,270,293,563,143,149,35,444,991,2709,26,74,125,16061,36,86,122,407,1742,7,3,10,35,749,40,25,1243,0,7,19,64,1,0,0,0
Vladimir Lidstrom,16,800,125,413,538,-1,226,30,586,948,1273,17,43,1083,18787,55,85,140,567,1758,2,4,6,14,1870,18,6,7,1,0,7,23,1,0,0,48
Mia Landvik,16,800,85,363,448,61,1238,190,2350,851,991,155,326,1006,17858,35,75,110,442,1494,0,4,4,8,1733,12,7,0,1,0,0,1,12,0,0,0
Derrick Glover,16,800,129,270,399,-19,144,70,443,1499,1425,182,477,177,14922,18,49,67,175,1283,1,5,6,17,1035,18,6,15550,0,2,1,2,0,19,25,11326
Matthew Leetch,16,800,90,307,397,66,331,5,793,724,925,141,292,937,15858,40,62,102,394,1540,2,5,7,6,1529,16,3,0,1,0,3,6,0,0,,313
Ti-Guy Emond,17,800,19,194,213,-144,1053,85,2105,558,340,92,182,1213,14798.73333,7,24,31,95,592.5666667,0,4,4,3,1519.4,2,1,0,0,0,0,0,7,0,0,2
Matthew Auston,17,799,265,311,576,55,192,70,531,1322,2363,590,1438,125,15399,46,67,113,358,1535,2,2,4,16,740,49,17,10424,2,6,5,35,3,0,0,8
Viatcheslav Orlov,16,795,63,293,356,48,815,75,1723,759,809,66,118,1020,16565,26,24,50,315,1178,0,4,4,2,1729,4,7,629,1,0,5,27,4,1,11,5355
Viktor Marius,16,790,294,345,639,209,494,45,1480,1026,2787,624,1603,174,16749.53333,42,68,110,362,1693.483333,4,2,6,33,1048.75,46,15,5366,5,2,0,11,1,0,3,394
Goku Muerto,16,782,223,390,613,-61,373,60,793,1066,2314,376,938,463,16660.78333,61,109,170,196,1828.416667,2,4,6,14,958.2166667,38,4,16556,1,1,8,20,2,0,0,0
Jax Aittokallio,15,782,247,360,607,88,184,60,541,1015,2381,348,982,363,16966.2,35,68,103,232,1349.583333,4,3,7,25,1310.983333,48,8,18228,2,2,4,18,2,0,0,27
Ray Bork,15,782,90,295,385,20,342,5,1039,453,1254,162,313,1070,15743.41667,25,32,57,234,908.1333333,1,2,3,3,1056.766667,15,2,0,0,0,0,0,1,0,0,519
Chris Partlow,17,781,157,484,641,11,984,250,1602,1555,1569,35,42,1047,21136,74,123,197,790,2497,3,2,5,18,1996,27,7,41,3,3,6,15,9,6,13,232
Thor Ludvigsen,16,779,90,183,273,-78,297,5,974,1128,983,0,0,45,12610,19,60,79,143,1408,0,1,1,13,823,19,5,12141,0,0,5,16,0,0,,1
Rex Kirkby,15,778,126,412,538,144,463,5,1339,535,1878,243,477,1330,18219.66667,53,108,161,311,1784.333333,1,12,13,8,1331.45,12,6,1,3,0,0,0,0,0,0,213
Jaime Hill,16,770,158,201,359,115,123,45,269,684,1507,0,0,191,12580,24,53,77,246,1387,3,2,5,27,931,19,11,817,0,1,1,10,2,0,0,0
Troy McClure III,16,766,49,245,294,42,582,65,1225,460,783,146,285,1107,14457.66667,10,26,36,158,670.0833333,2,2,4,8,1518.666667,12,5,1,1,0,4,5,4,1,1,1437
Toki Wartooth,16,765,28,181,209,23,773,145,1153,624,331,0,0,858,14322.05,4,9,13,45,372,0,5,5,7,2079.55,7,2,1,0,0,0,6,4,1,,1
Chris McZehrl,18,764,322,461,783,109,887,415,1237,2343,2837,141,275,279,18073,65,114,179,496,2196,6,9,15,80,2404,60,21,19989,4,10,17,62,16,0,0,199
Krists Zommers,16,760,97,72,169,37,16,0,89,359,750,0,3,54,6413,14,19,33,118,846,0,0,0,4,328,11,11,603,0,0,16,43,0,6,16,14
Rehn Miller,16,759,157,229,386,50,140,60,266,1207,1556,15,36,92,12357,29,59,88,256,1316,1,1,2,15,637,33,9,6113,1,2,6,20,4,0,0,1
Martins Daugavins,16,759,47,227,274,-33,289,65,438,625,523,0,0,593,11851,28,57,85,325,1473,2,2,4,9,1292,5,3,52,0,0,3,9,4,0,,13
Tommy Creller,15,758,235,360,595,41,287,75,781,1843,2311,0,0,227,17445,59,99,158,415,2152,5,2,7,31,1555,30,18,13620,3,3,18,45,2,0,0,0
Brian Morley,15,758,265,328,593,75,328,90,705,1683,2501,0,0,182,16997,48,99,147,431,2193,7,3,10,45,1948,51,17,10286,1,4,19,87,7,0,0,0
Kyle Keenan,15,758,189,362,551,44,356,180,460,1604,2138,19,30,190,16321,44,107,151,464,2308,1,5,6,20,1402,36,13,7985,1,0,15,45,10,0,0,2
Roy Razin,15,758,143,402,545,-10,249,75,324,1207,1722,0,0,1110,19722,74,94,168,789,2119,1,4,5,21,1965,22,13,6,3,2,17,39,4,0,0,140
Jamers Both,15,758,168,174,342,6,122,10,358,751,1506,0,0,84,13279,29,34,63,175,1315,0,2,2,4,308,25,10,1032,2,2,4,10,0,0,0,31
Waldo Cezar Jr.,16,758,46,193,239,-95,503,95,922,833,475,16,24,736,12825,22,26,48,203,941,0,0,0,6,1377,9,6,1,0,1,0,0,2,2,10,4
Bobby Watson,17,757,292,309,601,-94,323,25,1239,1200,2926,706,1892,200,16547.8,50,77,127,445,1785.1,3,2,5,29,789.6333333,34,16,1303,6,4,20,58,0,0,0,24
Sean Stevenson,15,757,26,213,239,130,659,145,1457,1030,529,84,108,774,14910,9,22,31,141,1034,0,6,6,8,2048,4,1,2,1,0,0,0,4,0,0,1
David Webb,16,757,82,139,221,-44,66,20,227,572,991,0,0,59,9442,12,37,49,127,901,1,0,1,4,154,11,7,734,0,1,3,9,0,1,1,2
Rembrandt Q. Einstein,15,756,75,440,515,44,537,45,975,958,934,0,0,1034,18079,49,108,157,573,2312,1,4,5,12,2109,10,9,0,1,0,1,2,2,0,0,96
Terry Bullis,16,756,183,283,466,46,106,0,418,1663,1803,21,46,123,14273,31,68,99,264,1436,5,1,6,31,1431,32,6,16169,3,2,18,47,0,1,2,6157
Riley Raycroft,18,755,227,350,577,18,678,260,1041,1215,1805,411,828,200,12970,61,93,154,282,1778,16,9,25,57,1297,32,14,12253,2,0,21,65,12,0,0,0
Rufus Reinhart,16,755,158,251,409,30,72,10,350,1374,1610,0,0,106,13161,21,74,95,248,1502,3,3,6,23,945,21,14,13104,2,1,5,14,0,0,0,20
Danielle Hogan,15,754,204,233,437,-8,597,165,1034,686,1655,377,651,154,11493,38,80,118,257,1599,7,0,7,24,774,26,14,752,1,9,15,37,3,2,1,2821
Viktor Svensson,16,753,47,324,371,-51,511,65,788,1040,589,0,0,1194,18314,23,84,107,361,2081,0,5,5,5,1962,10,3,0,0,0,0,1,7,0,7,5228
Alexander Andrezjeck,15,753,126,243,369,55,168,0,444,1337,1284,47,96,93,11334,13,45,58,136,945,0,2,2,9,808,33,10,11812,0,0,3,14,0,0,0,254
David Benson,17,752,189,288,477,45,147,35,470,964,1864,0,0,255,16018,42,65,107,325,1656,0,0,0,20,1044,34,16,1507,0,2,3,9,1,0,5,15
Winston Windsor,15,752,103,356,459,26,179,15,433,943,1032,0,0,880,16261,54,85,139,545,1771,2,5,7,14,1421,14,3,8,0,0,1,1,0,0,0,0
