Season,Franchise Name,Team Name,W,L,OTL,P,Playoffs?,WC Vs,WC W,WC L,R1 Vs,R1 W,R1 L,R2 Vs,R2 W,R2 L,CF Vs,CF W,CF L,Cup VS,CUP W,CUP L,PLF W,PLF L,Series Won,Series Lost,GM,Co-Gm,Cup Won,President Trophy,0,0,0,0,0,,
58,Chicago Syndicate,Chicago Syndicate,42,20,4,88,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,,,0,0,0,0,0,,
58,New Orleans Specters,New Orleans Specters,10,50,6,26,0,,,,,,,,,,,,,,,,0,0,0,0,Jkortesi81,Nictox,,,0,0,0,0,0,,
58,Seattle Argonauts,Seattle Argonauts,24,38,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,notoriousTig,grok,,,0,0,0,0,0,,
58,Atlanta Inferno,Atlanta Inferno,30,34,2,62,1,,,,LAP,4,2,TEX,1,4,,,,,,,5,6,1,1,Hotdog,Goldenglutes,,,0,0,0,0,0,,
57,Baltimore Platoon,Baltimore Platoon,13,48,5,31,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Zoone16,,,0,0,0,0,0,,
57,Calgary Dragons,Calgary Dragons,44,19,3,91,1,,,,ATL,2,4,,,,,,,,,,2,4,0,1,Steelhead77,Mike Izzy,,,0,0,0,0,0,,
57,Hamilton Steelhawks,Hamilton Steelhawks,53,9,4,110,1,,,,,,,ATL,4,1,WPG,4,1,CHI,1,4,9,6,2,2,ThatDamnMcJesus,dmills,,1,0,0,0,0,0,,
57,Toronto North Stars,Toronto North Stars,34,26,6,74,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
57,Winnipeg Aurora,Winnipeg Aurora,37,26,3,77,1,,,,LAP,4,2,EDM,4,3,HAM,1,4,,,,9,9,2,1,Muerto,Geekusiod,,,1,0,1,0,0,,
57,Tampa Bay Barracuda,Tampa Bay Barracuda,17,46,3,37,0,,,,,,,,,,,,,,,,0,0,0,0,Trella,DwightKnight,,,0,0,0,0,0,,
57,Manhattan Rage,Manhattan Rage,42,20,4,88,1,,,,,,,CHI,3,4,,,,,,,3,4,0,1,JayWhy,,,,0,1,1,0,0,,
57,Edmonton Blizzard,Edmonton Blizzard,45,16,5,95,1,,,,,,,WPG,3,4,,,,,,,3,4,0,1,Keygan,TommySalami,,,0,1,1,0,0,,
57,Los Angeles Panthers,Los Angeles Panthers,36,22,8,80,1,,,,WPG,2,4,,,,,,,,,,2,4,0,1,FuzzSHL,TheDangaZone,,,0,0,0,0,0,,
57,Minnesota Monarchs,Minnesota Monarchs,21,42,3,45,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,KlusteR,,,0,0,0,0,0,,
57,New England Wolfpack,New England Wolfpack,24,37,5,53,1,,,,BUF,1,4,,,,,,,,,,1,4,0,1,Kenvald,Zema,,,0,0,0,0,0,,
57,Texas Renegades,Texas Renegades,44,20,2,90,1,,,,,,,BUF,1,4,,,,,,,1,4,0,1,puolivalmiste,Redcapediver,,,0,0,0,0,0,,
57,Buffalo Stampede,Buffalo Stampede,50,13,3,103,1,,,,NEW,4,1,TEX,4,1,CHI,3,4,,,,11,6,2,1,WannabeFinn,Tomen,,,0,1,1,0,0,,
57,San Francisco Pride,San Francisco Pride,12,53,1,25,0,,,,,,,,,,,,,,,,0,0,0,0,Thatguy91,AgentSmith630,,,0,0,0,0,0,,
57,Chicago Syndicate,Chicago Syndicate,51,12,3,105,1.1,,,,NOLA,4,1,MAN,4,3,BUF,4,3,HAM,4,1,16,8,4,0,Velvera,O4L,1,,2,0,2,0,0,,
57,New Orleans Specters,New Orleans Specters,22,41,3,47,1,,,,CHI,1,4,,,,,,,,,,1,4,0,1,Jkortesi81,Nictox,,,0,0,0,0,0,,
57,Seattle Argonauts,Seattle Argonauts,22,42,2,46,0,,,,,,,,,,,,,,,,0,0,0,0,notoriousTig,grok,,,0,0,0,0,0,,
57,Atlanta Inferno,Atlanta Inferno,27,33,6,60,1,,,,CGY,4,2,HAM,0,4,,,,,,,4,6,1,1,Hotdog,Goldenglutes,,,0,0,0,0,0,,
56,Baltimore Platoon,Baltimore Platoon,10,37,3,23,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Zoone16,,,0,0,0,0,0,,
56,Calgary Dragons,Calgary Dragons,38,8,4,80,1,,,,,,,EDM,2,4,,,,,,,2,4,0,1,Steelhead77,Mike Izzy,,,0,0,0,0,0,,
56,Hamilton Steelhawks,Hamilton Steelhawks,40,4,6,86,1.1,,,,,,,ATL,4,2,EDM,4,3,BUF,4,1,12,6,3,0,ThatDamnMcJesus,dmills,1,1,1,0,1,0,0,,
56,Toronto North Stars,Toronto North Stars,19,28,3,41,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
56,Winnipeg Aurora,Winnipeg Jets,21,26,3,45,1,,,,CHI,1,4,,,,,,,,,,1,4,0,1,Muerto,Geekusiod,,,0,0,0,0,0,,
56,Tampa Bay Barracuda,Tampa Bay Barracuda,11,37,2,24,0,,,,,,,,,,,,,,,,0,0,0,0,Trella,DwightKnight,,,0,0,0,0,0,,
56,Manhattan Rage,Manhattan Rage,35,14,1,71,1,,,,,,,BUF,2,4,,,,,,,2,4,0,1,JayWhy,Luketd,,,0,0,0,0,0,,
56,Edmonton Blizzard,Edmonton Blizzard,32,17,1,65,1,,,,NEW,4,2,CGY,4,2,HAM,3,4,,,,11,8,2,1,Keygan,HockeyFan,,,0,1,1,0,0,,
56,Los Angeles Panthers,Los Angeles Panthers,24,22,4,52,1,,,,BUF,1,4,,,,,,,,,,1,4,0,1,FuzzSHL,TheDangaZone,,,0,0,0,0,0,,
56,Minnesota Monarchs,Minnesota Monarchs,16,32,2,34,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,KlusteR,,,0,0,0,0,0,,
56,New England Wolfpack,New England Wolfpack,25,23,3,53,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Kenvald,bbjym,,,0,0,0,0,0,,
56,Texas Renegades,Texas Renegades,34,16,0,68,1,,,,,,,CHI,0,4,,,,,,,0,4,0,1,puolivalmiste,Redcapediver,,,0,0,0,0,0,,
56,Buffalo Stampede,Buffalo Stampede,34,16,0,68,1,,,,LAP,4,1,MAN,4,2,CHI,4,3,HAM,1,4,13,10,3,2,WannabeFinn,Tomen,,,1,0,1,0,0,,
56,San Francisco Pride,San Francisco Pride,4,42,4,12,0,,,,,,,,,,,,,,,,0,0,0,0,Thatguy91,AgentSmith630,,,0,0,0,0,0,,
56,Chicago Syndicate,Chicago Syndicate,37,9,4,78,1,,,,WPG,4,1,TEX,4,0,BUF,3,4,,,,11,5,2,1,Velvera,O4L,,,0,1,1,0,0,,
56,New Orleans Specters,New Orleans Specters,28,15,7,63,1,,,,ATL,1,4,,,,,,,,,,1,4,0,1,Jkortesi81,Nictox,,,0,0,0,0,0,,
56,Seattle Argonauts,Seattle Argonauts,17,29,4,38,0,,,,,,,,,,,,,,,,0,0,0,0,notoriousTig,grok,0,0,0,0,0,0,0,,
56,Atlanta Inferno,Atlanta Inferno,25,22,3,53,1,,,,NOLA,4,1,HAM,2,4,,,,,,,6,5,1,1,Hotdog,Goldenglutes,0,0,0,0,0,0,0,,
55,Baltimore Platoon,Baltimore Platoon,14,32,4,32,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
55,Calgary Dragons,Calgary Dragons,31,13,6,68,1,,,,NOLA,2,4,,,,,,,,,,2,4,0,1,Steelhead77,Mike Izzy,,,0,0,0,0,0,,
55,Hamilton Steelhawks,Hamilton Steelhawks,33,14,3,69,1,,,,MAN,4,3,,,,BUF,1,4,,,,5,7,1,1,ThatDamnMcJesus,gwdJohnson,,,1,0,1,0,0,,
55,Toronto North Stars,Toronto North Stars,10,39,1,21,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
55,Winnipeg Aurora,Winnipeg Jets,23,24,3,49,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,Geekusiod,,,0,0,0,0,0,,
55,Tampa Bay Barracuda,Tampa Bay Barracuda,8,42,0,16,0,,,,,,,,,,,,,,,,0,0,0,0,Trella,DwightKnight,,,0,0,0,0,0,,
55,Manhattan Rage,Manhattan Rage,36,10,4,76,1,,,,HAM,3,4,,,,,,,,,,3,4,0,1,JayWhy,Luketd,,,0,1,1,0,0,,
55,Edmonton Blizzard,Edmonton Blizzard,39,9,2,80,1,,,,TEX,4,0,,,,NOLA,3,4,,,,7,4,1,1,Keygan,TommySalami,,,0,1,1,0,0,,
55,Los Angeles Panthers,Los Angeles Panthers,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,Mook,,,0,0,0,0,0,,
55,Minnesota Monarchs,Minnesota Chiefs,12,38,0,24,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,Fever95,,,0,0,0,0,0,,
55,New England Wolfpack,New England Wolfpack,27,16,7,61,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
55,Texas Renegades,Texas Renegades,28,19,3,59,1,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,puolivalmiste,,,0,0,0,0,0,,
55,Buffalo Stampede,Buffalo Stampede,40,10,0,80,1.1,,,,CHI,4,1,,,,HAM,4,1,NOLA,4,3,12,5,3,0,WannabeFinn,Tomen,1,1,1,0,1,1,0,,
55,San Francisco Pride,San Francisco Pride,16,32,2,34,0,,,,,,,,,,,,,,,,0,0,0,0,Thatguy91,AgentSmith630,,,0,0,0,0,0,,
55,Chicago Syndicate,Chicago Syndicate,30,17,3,63,1,,,,BUF,1,4,,,,,,,,,,1,4,0,1,Velvera,O4L,,,0,0,0,0,0,,
55,New Orleans Specters,New Orleans Specters,34,11,5,73,1,,,,CGY,4,2,,,,EDM,4,3,BUF,3,4,11,9,2,1,Jkortesi81,Nictox,,,1,1,2,0,1,,
54,Baltimore Platoon,Baltimore Platoon,15,33,2,32,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
54,Calgary Dragons,Calgary Dragons,26,19,5,57,1,,,,LAP,1,4,,,,,,,,,,1,4,0,1,Steelhead77,Mike Izzy,,,0,0,0,0,0,,
54,Hamilton Steelhawks,Hamilton Steelhawks,38,10,2,78,1,,,,MAN,4,0,,,,BUF,4,3,NOLA,0,4,8,7,2,1,ThatDamnMcJesus,gwdJohnson,,,1,0,1,0,0,,
54,Toronto North Stars,Toronto North Stars,11,37,2,24,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
54,Winnipeg Aurora,Winnipeg Jets,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,Geekusiod,,,0,0,0,0,0,,
54,Tampa Bay Barracuda,Tampa Bay Barracuda,0,50,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,MCP,,,,0,0,0,0,0,,
54,Manhattan Rage,Manhattan Rage,29,17,4,62,1,,,,HAM,0,4,,,,,,,,,,0,4,0,1,JayWhy,Luketd,,,0,0,0,0,0,,
54,Edmonton Blizzard,Edmonton Blizzard,29,18,3,61,1,,,,NOLA,2,4,,,,,,,,,,2,4,0,1,Keygan,TommySalami,,,0,0,0,0,0,,
54,Los Angeles Panthers,Los Angeles Panthers,33,17,0,66,1,,,,CGY,4,1,,,,NOLA,3,4,,,,7,5,1,1,Wasty,Mook,,,0,1,1,0,0,,
54,Minnesota Monarchs,Minnesota Chiefs,13,34,3,29,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,Fever95,,,0,0,0,0,0,,
54,New England Wolfpack,New England Wolfpack,28,21,1,57,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
54,Texas Renegades,Texas Renegades,26,19,5,57,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,puolivalmiste,,,0,0,0,0,0,,
54,Buffalo Stampede,Buffalo Stampede,41,7,2,84,1,,,,CHI,4,2,,,,HAM,3,4,,,,7,6,1,1,WannabeFinn,Tomen,,1,0,1,1,0,0,,
54,San Francisco Pride,San Francisco Pride,27,22,1,55,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Daftraincloud,,,0,0,0,0,0,,
54,Chicago Syndicate,Chicago Syndicate,35,13,2,72,1,,,,BUF,2,4,,,,,,,,,,2,4,0,1,Velvera,O4L,,,0,0,0,0,0,,
54,New Orleans Specters,New Orleans Specters,30,16,4,64,1.1,,,,EDM,4,2,,,,LAP,4,3,HAM,4,0,12,5,3,0,Jkortesi81,TheDangaZone,1,,1,0,1,0,0,,
53,Baltimore Platoon,Baltimore Platoon,21,22,7,49,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
53,Calgary Dragons,Calgary Dragons,31,14,5,67,1,,,,EDM,3,4,,,,,,,,,,3,4,0,1,Steelhead77,Mike Izzy,,,0,1,1,0,0,,
53,Hamilton Steelhawks,Hamilton Steelhawks,40,7,3,83,1.1,,,,BUF,4,0,,,,NEW,4,1,EDM,4,2,12,3,3,0,ThatDamnMcJesus,gwdJohnson,1,,0,0,0,0,0,,
53,Toronto North Stars,Toronto North Stars,6,41,3,15,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
53,Winnipeg Aurora,Winnipeg Jets,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,,,,0,0,0,0,0,,
53,Tampa Bay Barracuda,Tampa Bay Barracuda,10,38,2,22,0,,,,,,,,,,,,,,,,0,0,0,0,MCP,,,,0,0,0,0,0,,
53,Manhattan Rage,Manhattan Rage,25,22,3,53,1,,,,NEW,2,4,,,,,,,,,,2,4,0,1,JayWhy,Luketd,,,0,0,0,0,0,,
53,Edmonton Blizzard,Edmonton Blizzard,32,13,5,69,1,,,,CGY,4,3,,,,LAP,4,0,HAM,2,4,10,7,2,1,Keygan,TommySalami,,,1,0,1,0,0,,
53,Los Angeles Panthers,Los Angeles Panthers,35,11,4,74,1,,,,NOLA,4,3,,,,EDM,0,4,,,,4,7,1,1,Wasty,JT3,,,1,0,1,0,0,,
53,Minnesota Monarchs,Minnesota Chiefs,12,33,5,29,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,Fever95,,,0,0,0,0,0,,
53,New England Wolfpack,New England Wolfpack,42,7,1,85,1,,,,MAN,4,2,,,,HAM,1,4,,,,5,6,1,1,Ace,hotdog,,1,0,0,0,0,0,,
53,Texas Renegades,Texas Renegades,9,41,0,18,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
53,Buffalo Stampede,Buffalo Stampede,35,14,1,71,1,,,,HAM,0,4,,,,,,,,,,0,4,0,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
53,San Francisco Pride,San Francisco Pride,27,20,3,57,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Daftraincloud,,,0,0,0,0,0,,
53,Chicago Syndicate,Chicago Syndicate,24,24,2,50,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,,,0,0,0,0,0,,
53,New Orleans Specters,New Orleans Specters,29,17,4,62,1,,,,LAP,3,4,,,,,,,,,,3,4,0,1,Jkortesi81,TheDangaZone,,,0,1,1,0,0,,
52,Baltimore Platoon,West Kendall Platoon,21,28,1,43,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
52,Calgary Dragons,Calgary Dragons,24,22,4,52,1,LAP,4,3,SFP,4,2,,,,,,,,,,8,5,2,0,Steelhead77,Cookies,,,1,0,1,0,0,,
52,Hamilton Steelhawks,Hamilton Steelhawks,33,15,2,68,1,,,,BUF,1,4,,,,,,,,,,1,4,0,1,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
52,Toronto North Stars,Toronto North Stars,24,19,7,55,1,BUF,0,4,,,,,,,,,,,,,0,4,0,1,ml002,UrsinZ,,,0,0,0,0,0,,
52,Winnipeg Aurora,Winnipeg Jets,24,26,0,48,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,,,,0,0,0,0,0,,
52,Tampa Bay Barracuda,Tampa Bay Barracuda,16,30,4,36,0,,,,,,,,,,,,,,,,0,0,0,0,MCP,,,,0,0,0,0,0,,
52,Manhattan Rage,Manhattan Rage,28,21,1,57,1.1,,,,CHI,4,3,,,,BUF,4,2,SFP,4,2,12,7,3,0,JayWhy,Luketd,1,,1,0,1,0,0,,
52,Edmonton Blizzard,Edmonton Blizzard,29,18,3,61,1,,,,NOLA,2,4,,,,,,,,,,2,4,0,1,Keygan,TommySalami,,,0,0,0,0,0,,
52,Los Angeles Panthers,Los Angeles Panthers,25,21,4,54,1,CGY,3,4,,,,,,,,,,,,,3,4,0,1,Wasty,JT3,,,0,1,1,0,0,,
52,Minnesota Monarchs,Minnesota Chiefs,19,24,7,45,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,Fever95,,,0,0,0,0,0,,
52,New England Wolfpack,New England Wolfpack,24,19,7,55,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
52,Texas Renegades,Texas Renegades,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
52,Buffalo Stampede,Buffalo Stampede,28,19,3,59,1,TOR,4,0,HAM,4,1,,,,MAN,2,4,,,,10,5,2,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
52,San Francisco Pride,San Francisco Pride,31,12,7,69,1,,,,CGY,4,2,,,,NOLA,4,3,MAN,2,4,10,9,2,1,Grapehead,Daftraincloud,,1,1,0,1,0,0,,
52,Chicago Syndicate,Chicago Syndicate,29,16,5,63,1,,,,MAN,3,4,,,,,,,,,,3,4,0,1,Velvera,O4L,,,0,1,1,0,0,,
52,New Orleans Specters,New Orleans Specters,25,18,7,57,1,,,,EDM,4,2,,,,SFP,3,4,,,,7,6,1,1,Jkortesi81,TheDangaZone,,,0,1,1,0,0,,
51,Baltimore Platoon,West Kendall Platoon,25,23,2,52,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
51,Calgary Dragons,Calgary Dragons,26,20,4,56,1,,,,EDM,3,4,,,,,,,,,,3,4,0,1,Steelhead77,Cookies,,,0,1,1,0,0,,
51,Hamilton Steelhawks,Hamilton Steelhawks,31,15,4,66,1.1,,,,BUF,4,0,,,,MAN,4,1,EDM,4,1,12,2,3,0,ThatDamnMcJesus,Waters,1,,0,0,0,0,0,,
51,Toronto North Stars,Toronto North Stars,21,26,3,45,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,,,,0,0,0,0,0,,
51,Winnipeg Aurora,Winnipeg Jets,22,24,4,48,1,LAP,2,4,,,,,,,,,,,,,2,4,0,1,StadiumGambler,,,,0,0,0,0,0,,
51,Tampa Bay Barracuda,Tampa Bay Barracuda,24,22,4,52,1,BUF,0,4,,,,,,,,,,,,,0,4,0,1,JSS,MCP,,,0,0,0,0,0,,
51,Manhattan Rage,Manhattan Rage,26,18,6,58,1,,,,CHI,4,3,,,,HAM,1,4,,,,5,7,1,1,JayWhy,Luketd,,,1,0,1,0,0,,
51,Edmonton Blizzard,Edmonton Blizzard,32,14,4,68,1,,,,CGY,4,3,,,,LAP,4,0,HAM,1,4,9,7,2,1,Keygan,TommySalami,,,1,0,1,0,0,,
51,Los Angeles Panthers,Los Angeles Panthers,21,25,4,46,1,WPG,4,2,NOLA,4,1,,,,EDM,0,4,,,,8,7,2,1,Wasty,JT3,,,0,0,0,0,0,,
51,Minnesota Monarchs,Minnesota Chiefs,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,Shmurph,Leppish,,,0,0,0,0,0,,
51,New England Wolfpack,New England Wolfpack,21,22,7,49,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
51,Texas Renegades,Texas Renegades,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
51,Buffalo Stampede,Buffalo Stampede,27,21,2,56,1,TBB,4,0,HAM,0,4,,,,,,,,,,4,4,1,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
51,San Francisco Pride,San Francisco Pride,18,27,5,41,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Daftraincloud,,,0,0,0,0,0,,
51,Chicago Syndicate,Chicago Syndicate,30,20,0,60,1,,,,MAN,3,4,,,,,,,,,,3,4,0,1,Velvera,O4L,,,0,1,1,0,0,,
51,New Orleans Specters,New Orleans Specters,36,11,3,75,1,,,,LAP,1,4,,,,,,,,,,1,4,0,1,Jkortesi81,TheDangaZone,,1,0,0,0,0,0,,
50,Baltimore Platoon,West Kendall Platoon,24,22,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Glyc,,,0,0,0,0,0,,
50,Calgary Dragons,Calgary Dragons,27,20,3,57,1.1,LAP,4,1,SFP,4,0,,,,NOLA,4,0,TBB,4,3,16,4,4,0,Steelhead77,Cookies,1,,1,0,1,1,0,,
50,Hamilton Steelhawks,Hamilton Steelhawks,29,19,2,60,1,,,,BUF,4,2,,,,TBB,2,4,,,,6,6,1,1,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
50,Toronto North Stars,Toronto North Stars,26,22,2,54,1,MAN,4,2,TBB,2,4,,,,,,,,,,6,6,1,1,ml002,,,,0,0,0,0,0,,
50,Winnipeg Aurora,Winnipeg Jets,22,22,6,50,1,,,,,,,,,,,,,,,,0,0,0,0,StadiumGambler,,,,0,0,0,0,0,,
