FHMID,Name,Season,1AS,2AS,3AS,RAS,AS,CC,Bojo Biscuit,Anton Razov,Aidan Richan,Jeff Dar,John McBride,Ryan Jesster,Scott Stevens,Ron Mexico,Turd Ferguson,Mike Honcho,Jay MacDonald,Sergei Karpotsov,Sarmad Khan
1000091,Taylor Stach,S02,,,,,,1,,,,,,,,,,,,,
1000183,Steven Stamkos,S02,,,,,,1,,,,,,,,,,,,,
1000004,Howie Feltersnatch,S02,,,,,1,,,,,,,,,,,,,,
1000021,J.J Krever,S02,,,,,1,,,,,,,,,,,,,,
1000769,Jonathan Kane,S02,,,,,1,,,,,,,,,,,,,,
1000034,Sarmad Khan,S02,,,,,1,,,,,,,,,,,,,,
1000117,Jamie Campagiorni,S02,,,,,1,,,,,,,,,,,,,,
1000058,Brandon Holmes,S02,,,,,1,,,,,,,,,,,,,,
1000053,Gregory Lazaro,S02,,,,,1,,,,,,,,,,,,,,
1000091,Taylor Stach,S02,,,,,1,,,,,,,,,,,,,,
1000075,Dorian Greiser,S02,,,,,1,,,,,,,,,,,,,,
1000080,Alexander Cattermole,S02,,,,,1,,,,,,,,,,,,,,
1000061,Kevin Paille,S02,,,,,1,,,,,,,,,,,,,,
1100006,Fernando Garcia,S02,,,,,1,,,,,,,,,,,,,,
1100008,Mike O'Brien,S02,,,,,1,,,,,,,,,,,,,,
1102337,Nicolas Couturier,S02,,,,,1,,,,,,,,,,,,,,
1000023,Riley Raycroft,S02,,,,,1,,,,,,,,,,,,,,
1000090,Jeremy Proulx,S02,,,,,1,,,,,,,,,,,,,,
1000147,Joe Duncombe,S02,,,,,1,,,,,,,,,,,,,,
1000076,Carl Racki,S02,,,,,1,,,,,,,,,,,,,,
1000125,Fedor Karpotsov,S02,,,,,1,,,,,,,,,,,,,,
1000111,Jeff Dar,S02,,,,,1,,,,,,,,,,,,,,
1000134,Scott Stevens,S02,,,,,1,,,,,,,,,,,,,,
1000113,Nick Hampton,S02,,,,,1,,,,,,,,,,,,,,
1000081,Mat Murray,S02,,,,,1,,,,,,,,,,,,,,
1001002,John Matthews,S02,,,,,1,,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S02,,,,,1,,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S02,,,,,1,,,,,,,,,,,,,,
1000088,Jay McDonald,S02,,,,,1,,,,,,,,,,,,,,
1000092,Nathan D'Angelo,S02,,,,,1,,,,,,,,,,,,,,
1000070,Richard Metcalf,S02,,,,,1,,,,,,,,,,,,,,
1000072,Corey Michael,S02,,,,,1,,,,,,,,,,,,,,
1000074,Mikey Broomfield,S02,,,,,1,,,,,,,,,,,,,,
1000045,Dominic Turcotte,S02,,,,,1,,,,,,,,,,,,,,
1000099,Waldo Cezar,S02,,,,,1,,,,,,,,,,,,,,
1100003,Mike Honcho,S02,,,,,1,,,,,,,,,,,,,,
1100002,Ryan Jesster,S02,,,,,1,,,,,,,,,,,,,,
1000071,Castiel Lee,S02,,,,,1,,,,,,,,,,,,,,
1000050,Ron Mexico,S02,,,,,1,,,,,,,,,,,,,,
1102320,Jordan Eng,S02,,,,,1,,,,,,,,,,,,,,
1000131,Aaron Brown,S02,,,,,1,,,,,,,,,,,,,,
1000049,Damian Littleton,S02,,,,,1,,,,,,,,,,,,,,
1000082,Eric Scheib,S02,,,,,1,,,,,,,,,,,,,,
1100003,Mike Honcho,S03,,,,,,,,1,,,,,,,,,,,
1000092,Nathan D'Angelo,S03,,,,,,,,,,0,,,,,,,,,
1000071,Castiel Lee,S03,,,,,,,,,,1,,,,,,,,,
1000008,Brian Burke,S03,,,,,,,,,,0,,,,,,,,,
1000769,Jonathan Kane,S03,,,,,,,,,,,0,,,,,,,,
1100003,Mike Honcho,S03,,,,,,,,,,,1,,,,,,,,
1100006,Fernando Garcia,S03,,,,,,,,,,,0,,,,,,,,
1000096,Dylan Kearns Jr.,S03,,,,,,,,,,,,0,,,,,,,
1000052,Ideen Fallah,S03,,,,,,,,,,,,0,,,,,,,
1000132,Raymond Lindsay,S03,,,,,,,,,,,,1,,,,,,,
1000134,Scott Stevens,S03,,,,,,,,,,,,,0,,,,,,
1000049,Damian Littleton,S03,,,,,,,,,,,,,1,,,,,,
1000074,Mikey Broomfield,S03,,,,,,,,,,,,,0,,,,,,
1000050,Ron Mexico,S03,,,,,,,,,,,,,,1,,,,,
1000077,Sergei Karpotsov,S03,,,,,,,,,,,,,,0,,,,,
1000058,Brandon Holmes,S03,,,,,,,,,,,,,,0,,,,,
1000064,Edgar Marcco,S03,,,,,,,,,,,,,,,1,,,,
1100006,Fernando Garcia,S03,,,,,,,,,,,,,,,,1,,,
1000088,Jay McDonald,S03,,,,,,,,,,,,,,,,,1,,
1000050,Ron Mexico,S03,,,,,,,,,,,,,,,,,,1,
1000050,Ron Mexico,S03,,,,,,,,,,,,,,,,,,,1
1000074,Mikey Broomfield,S03,,,,,,1,,,,,,,,,,,,,
1000080,Alexander Cattermole,S03,,,,,,1,,,,,,,,,,,,,
1000083,Darren Ferraro,S03,,,,,,1,,,,,,,,,,,,,
1000075,Dorian Greiser,S03,,,,,,1,,,,,,,,,,,,,
1000084,Jeff Hockridge,S03,,,,,,1,,,,,,,,,,,,,
1000078,Andrew James,S03,,,,,,1,,,,,,,,,,,,,
1000079,Conor John,S03,,,,,,1,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S03,,,,,,1,,,,,,,,,,,,,
1000071,Castiel Lee,S03,,,,,,1,,,,,,,,,,,,,
1000088,Jay McDonald,S03,,,,,,1,,,,,,,,,,,,,
1000070,Richard Metcalf,S03,,,,,,1,,,,,,,,,,,,,
1000072,Corey Michael,S03,,,,,,1,,,,,,,,,,,,,
1000081,Mat Murray,S03,,,,,,1,,,,,,,,,,,,,
1000076,Carl Racki,S03,,,,,,1,,,,,,,,,,,,,
1000073,Patrick Perry,S03,,,,,,1,,,,,,,,,,,,,
1000082,Eric Scheib,S03,,,,,,1,,,,,,,,,,,,,
1000086,Matt Taylor,S03,,,,,,1,,,,,,,,,,,,,
1000108,Dr. Kenneth Noiswater,S03,,,,,,1,,,,,,,,,,,,,
1000021,J.J Krever,S03,,,,,1,,,,,,,,,,,,,,
1000124,John Falkirk,S03,,,,,1,,,,,,,,,,,,,,
1000034,Sarmad Khan,S03,,,,,1,,,,,,,,,,,,,,
1000117,Jamie Campagiorni,S03,,,,,1,,,,,,,,,,,,,,
1000058,Brandon Holmes,S03,,,,,1,,,,,,,,,,,,,,
1000053,Gregory Lazaro,S03,,,,,1,,,,,,,,,,,,,,
1000109,Eliseo Zamora,S03,,,,,1,,,,,,,,,,,,,,
1000127,Taldon Shepard,S03,,,,,1,,,,,,,,,,,,,,
1000134,Scott Stevens,S03,,,,,1,,,,,,,,,,,,,,
1000113,Nick Hampton,S03,,,,,1,,,,,,,,,,,,,,
1100006,Fernando Garcia,S03,,,,,1,,,,,,,,,,,,,,
1100008,Mike O'Brien,S03,,,,,1,,,,,,,,,,,,,,
1000056,Abdullah Muhammed Jabir,S03,,,,,1,,,,,,,,,,,,,,
1000130,Ron Bolt,S03,,,,,1,,,,,,,,,,,,,,
1000137,Patrick Ryan,S03,,,,,1,,,,,,,,,,,,,,
1000110,Alexander Beketov,S03,,,,,1,,,,,,,,,,,,,,
1000052,Ideen Fallah,S03,,,,,1,,,,,,,,,,,,,,
1000128,Roman Andreev,S03,,,,,1,,,,,,,,,,,,,,
1000140,Jon Maxfield,S03,,,,,1,,,,,,,,,,,,,,
1000139,Dennis McKay,S03,,,,,1,,,,,,,,,,,,,,
1100005,Markus Kaitala,S03,,,,,1,,,,,,,,,,,,,,
1000023,Riley Raycroft,S03,,,,,1,,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S03,,,,,1,,,,,,,,,,,,,,
1000088,Jay McDonald,S03,,,,,1,,,,,,,,,,,,,,
1000046,Joe Momma,S03,,,,,1,,,,,,,,,,,,,,
1000044,Ford Prefect,S03,,,,,1,,,,,,,,,,,,,,
1000074,Mikey Broomfield,S03,,,,,1,,,,,,,,,,,,,,
1000045,Dominic Turcotte,S03,,,,,1,,,,,,,,,,,,,,
1000096,Dylan Kearns Jr.,S03,,,,,1,,,,,,,,,,,,,,
1100003,Mike Honcho,S03,,,,,1,,,,,,,,,,,,,,
1100002,Ryan Jesster,S03,,,,,1,,,,,,,,,,,,,,
1000070,Richard Metcalf,S03,,,,,1,,,,,,,,,,,,,,
1000050,Ron Mexico,S03,,,,,1,,,,,,,,,,,,,,
1000001,Troy Young,S03,,,,,1,,,,,,,,,,,,,,
1000093,Trevor Smith,S03,,,,,1,,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S03,,,,,1,,,,,,,,,,,,,,
1000008,Brian Burke,S03,,,,,1,,,,,,,,,,,,,,
1000049,Damian Littleton,S03,,,,,1,,,,,,,,,,,,,,
1000007,Alec Moose,S03,,,,,1,,,,,,,,,,,,,,
1000102,Troy Thompson,S03,,,,,1,,,,,,,,,,,,,,
1000769,Jonathan Kane,S03,,,,,1,,,,,,,,,,,,,,
1000184,Joshua Botelho,S04,,,,,,,,1,,,,,,,,,,,
1000092,Nathan D'Angelo,S04,,,,,,,,,,0,,,,,,,,,
1000112,Gianni Ciddio,S04,,,,,,,,,,1,,,,,,,,,
1000073,Patrick Perry,S04,,,,,,,,,,0,,,,,,,,,
1100002,Ryan Jesster,S04,,,,,,,,,,,0,,,,,,,,
1100003,Mike Honcho,S04,,,,,,,,,,,1,,,,,,,,
1100005,Markus Kaitala,S04,,,,,,,,,,,0,,,,,,,,
1000178,Michael Abdalla,S04,,,,,,,,,,,,0,,,,,,,
1100015,Serge Niles,S04,,,,,,,,,,,,0,,,,,,,
1000184,Joshua Botelho,S04,,,,,,,,,,,,1,,,,,,,
1000134,Scott Stevens,S04,,,,,,,,,,,,,0,,,,,,
1000049,Damian Littleton,S04,,,,,,,,,,,,,0,,,,,,
1000114,Jardy Bunclewirth,S04,,,,,,,,,,,,,1,,,,,,
1000050,Ron Mexico,S04,,,,,,,,,,,,,,0,,,,,
1000077,Sergei Karpotsov,S04,,,,,,,,,,,,,,1,,,,,
1000111,Jeff Dar,S04,,,,,,,,,,,,,,0,,,,,
1000115,Turd Ferguson,S04,,,,,,,,,,,,,,,1,,,,
1100003,Mike Honcho,S04,,,,,,,,,,,,,,,,1,,,
1000088,Jay McDonald,S04,,,,,,,,,,,,,,,,,1,,
1000077,Sergei Karpotsov,S04,,,,,,,,,,,,,,,,,1,,
1000088,Jay McDonald,S04,,,,,,,,,,,,,,,,,,1,
1100002,Ryan Jesster,S04,,,,,,,,,,,,,,,,,,,1
1000182,Joe Boyer,S04,,,,,,1,,,,,,,,,,,,,
1000074,Mikey Broomfield,S04,,,,,,1,,,,,,,,,,,,,
1000184,Joshua Botelho,S04,,,,,,1,,,,,,,,,,,,,
1000179,Logan Burns,S04,,,,,,1,,,,,,,,,,,,,
1000080,Alexander Cattermole,S04,,,,,,1,,,,,,,,,,,,,
1000175,Cal Clutterbuck,S04,,,,,,1,,,,,,,,,,,,,
1000173,Taylor Evans,S04,,,,,,1,,,,,,,,,,,,,
1000176,Jared Fiumara,S04,,,,,,1,,,,,,,,,,,,,
1000075,Dorian Greiser,S04,,,,,,1,,,,,,,,,,,,,
1000177,Chris Hernandez,S04,,,,,,1,,,,,,,,,,,,,
1100003,Mike Honcho,S04,,,,,,1,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S04,,,,,,1,,,,,,,,,,,,,
1100013,Viari Latypov,S04,,,,,,1,,,,,,,,,,,,,
1000071,Castiel Lee,S04,,,,,,1,,,,,,,,,,,,,
1000088,Jay McDonald,S04,,,,,,1,,,,,,,,,,,,,
1000072,Corey Michael,S04,,,,,,1,,,,,,,,,,,,,
1000081,Mat Murray,S04,,,,,,1,,,,,,,,,,,,,
1000073,Patrick Perry,S04,,,,,,1,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S04,,,,,,1,,,,,,,,,,,,,
1000021,J.J Krever,S04,,,,,1,,,,,,,,,,,,,,
1000769,Jonathan Kane,S04,,,,,1,,,,,,,,,,,,,,
1000124,John Falkirk,S04,,,,,1,,,,,,,,,,,,,,
1000068,Valdas Kremer,S04,,,,,1,,,,,,,,,,,,,,
1000133,Tyler Seguin,S04,,,,,1,,,,,,,,,,,,,,
1000092,Nathan D'Angelo,S04,,,,,1,,,,,,,,,,,,,,
1000125,Fedor Karpotsov,S04,,,,,1,,,,,,,,,,,,,,
1000184,Joshua Botelho,S04,,,,,1,,,,,,,,,,,,,,
1000102,Troy Thompson,S04,,,,,1,,,,,,,,,,,,,,
1000140,Jon Maxfield,S04,,,,,1,,,,,,,,,,,,,,
1000049,Damian Littleton,S04,,,,,1,,,,,,,,,,,,,,
1100006,Fernando Garcia,S04,,,,,1,,,,,,,,,,,,,,
1100003,Mike Honcho,S04,,,,,1,,,,,,,,,,,,,,
1000130,Ron Bolt,S04,,,,,1,,,,,,,,,,,,,,
1000111,Jeff Dar,S04,,,,,1,,,,,,,,,,,,,,
1000088,Jay McDonald,S04,,,,,1,,,,,,,,,,,,,,
1000087,Zac Goonathan,S04,,,,,1,,,,,,,,,,,,,,
1000058,Brandon Holmes,S04,,,,,1,,,,,,,,,,,,,,
1000164,Kiernan Cassidy,S04,,,,,1,,,,,,,,,,,,,,
1000114,Jardy Bunclewirth,S04,,,,,1,,,,,,,,,,,,,,
1000074,Mikey Broomfield,S04,,,,,1,,,,,,,,,,,,,,
1100008,Mike O'Brien,S04,,,,,1,,,,,,,,,,,,,,
1000050,Ron Mexico,S04,,,,,1,,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S04,,,,,1,,,,,,,,,,,,,,
1000034,Sarmad Khan,S04,,,,,1,,,,,,,,,,,,,,
1000023,Riley Raycroft,S04,,,,,1,,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S04,,,,,1,,,,,,,,,,,,,,
1000178,Michael Abdalla,S04,,,,,1,,,,,,,,,,,,,,
1000045,Dominic Turcotte,S04,,,,,1,,,,,,,,,,,,,,
1000056,Abdullah Muhammed Jabir,S04,,,,,1,,,,,,,,,,,,,,
1000134,Scott Stevens,S04,,,,,1,,,,,,,,,,,,,,
1100002,Ryan Jesster,S04,,,,,1,,,,,,,,,,,,,,
1000052,Ideen Fallah,S04,,,,,1,,,,,,,,,,,,,,
1000181,Will Secord,S04,,,,,1,,,,,,,,,,,,,,
1000167,Roberto Martucci,S04,,,,,1,,,,,,,,,,,,,,
1000071,Castiel Lee,S04,,,,,1,,,,,,,,,,,,,,
1000033,Alex Reay,S04,,,,,1,,,,,,,,,,,,,,
1000117,Jamie Campagiorni,S04,,,,,1,,,,,,,,,,,,,,
1000007,Alec Moose,S04,,,,,1,,,,,,,,,,,,,,
1000119,Mathias Chouinard,S04,,,,,1,,,,,,,,,,,,,,
1000115,Turd Ferguson,S04,,,,,1,,,,,,,,,,,,,,
1100015,Serge Niles,S04,,,,,1,,,,,,,,,,,,,,
1000056,Abdullah Muhammed Jabir,S05,,,,,,1,,,,,,,,,,,,,
1000056,Abdullah Muhammed Jabir,S05,,,,,,,,1,,,,,,,,,,,
1000111,Jeff Dar,S05,,,,,,,,,,1,,,,,,,,,
1000068,Valdas Kremer,S05,,,,,,,,,,0,,,,,,,,,
1000769,Jonathan Kane,S05,,,,,,,,,,,0,,,,,,,,
1100003,Mike Honcho,S05,,,,,,,,,,,0,,,,,,,,
1100005,Markus Kaitala,S05,,,,,,,,,,,0,,,,,,,,
1100006,Fernando Garcia,S05,,,,,,,,,,,1,,,,,,,,
1000194,Cam Wilson,S05,,,,,,,,,,,,0,,,,,,,
1000195,Kain Webb,S05,,,,,,,,,,,,1,,,,,,,
1100026,Marshall MacPherson,S05,,,,,,,,,,,,0,,,,,,,
1000134,Scott Stevens,S05,,,,,,,,,,,,,1,,,,,,
1000049,Damian Littleton,S05,,,,,,,,,,,,,0,,,,,,
1000114,Jardy Bunclewirth,S05,,,,,,,,,,,,,0,,,,,,
1000050,Ron Mexico,S05,,,,,,,,,,,,,,1,,,,,
1000058,Brandon Holmes,S05,,,,,,,,,,,,,,0,,,,,
1000088,Jay McDonald,S05,,,,,,,,,,,,,,0,,,,,
1000134,Scott Stevens,S05,,,,,,,,,,,,,,0,,,,,
1000093,Trevor Smith,S05,,,,,,,,,,,,,,0,,,,,
1000115,Turd Ferguson,S05,,,,,,,,,,,,,,,1,,,,
1100003,Mike Honcho,S05,,,,,,,,,,,,,,,,1,,,
1000050,Ron Mexico,S05,,,,,,,,,,,,,,,,,1,,
1000050,Ron Mexico,S05,,,,,,,,,,,,,,,,,,1,
1000050,Ron Mexico,S05,,,,,,,,,,,,,,,,,,,1
1000289,James Ashton,S05,,,,,,1,,,,,,,,,,,,,
1000390,Camillo D'Antonio,S05,,,,,,1,,,,,,,,,,,,,
1000165,Chris Elwell,S05,,,,,,1,,,,,,,,,,,,,
1000186,Sean Gallagher,S05,,,,,,1,,,,,,,,,,,,,
1100006,Fernando Garcia,S05,,,,,,1,,,,,,,,,,,,,
1000087,Zac Goonathan,S05,,,,,,1,,,,,,,,,,,,,
1000058,Brandon Holmes,S05,,,,,,1,,,,,,,,,,,,,
1000067,Colin Holmes,S05,,,,,,1,,,,,,,,,,,,,
1000294,Stanley Kendall,S05,,,,,,1,,,,,,,,,,,,,
1000034,Sarmad Khan,S05,,,,,,1,,,,,,,,,,,,,
1000053,Gregory Lazaro,S05,,,,,,1,,,,,,,,,,,,,
1000007,Alec Moose,S05,,,,,,1,,,,,,,,,,,,,
1000291,Patrick Pelletier,S05,,,,,,1,,,,,,,,,,,,,
1000033,Alex Reay,S05,,,,,,1,,,,,,,,,,,,,
1000288,Adam Scharfe,S05,,,,,,1,,,,,,,,,,,,,
1000187,H. Ted,S05,,,,,,1,,,,,,,,,,,,,
1000297,Nicholas Mastromarino,S05,,,,,,1,,,,,,,,,,,,,
1000296,Robert Zygadlo,S05,,,,,,1,,,,,,,,,,,,,
1100024,Brandon Sawyer,S06,,,,,,,,1,,,,,,,,,,,
1000111,Jeff Dar,S06,,,,,,,,,,1,,,,,,,,,
1000132,Raymond Lindsay,S06,,,,,,,,,,0,,,,,,,,,
1000186,Sean Gallagher,S06,,,,,,,,,,0,,,,,,,,,
1100024,Brandon Sawyer,S06,,,,,,,,,,,0,,,,,,,,
1100016,Eddie Fischermann,S06,,,,,,,,,,,0,,,,,,,,
1100022,John McBride,S06,,,,,,,,,,,1,,,,,,,,
1000247,Reggie Williams,S06,,,,,,,,,,,,0,,,,,,,
1000249,Zach Miller,S06,,,,,,,,,,,,0,,,,,,,
1000250,Laraque Obama,S06,,,,,,,,,,,,1,,,,,,,
1000134,Scott Stevens,S06,,,,,,,,,,,,,0,,,,,,
1000220,Erik Chisling,S06,,,,,,,,,,,,,1,,,,,,
1000226,Quilha Agante,S06,,,,,,,,,,,,,0,,,,,,
1000050,Ron Mexico,S06,,,,,,,,,,,,,,1,,,,,
1000195,Kain Webb,S06,,,,,,,,,,,,,,0,,,,,
1000023,Riley Raycroft,S06,,,,,,,,,,,,,,0,,,,,
1000206,Seth Plaut,S06,,,,,,,,,,,,,,,1,,,,
1100016,Eddie Fischermann,S06,,,,,,,,,,,,,,,,1,,,
1000111,Jeff Dar,S06,,,,,,,,,,,,,,,,,1,,
1000195,Kain Webb,S06,,,,,,,,,,,,,,,,,1,,
1000050,Ron Mexico,S06,,,,,,,,,,,,,,,,,1,,
1000050,Ron Mexico,S06,,,,,,,,,,,,,,,,,,1,
1000195,Kain Webb,S06,,,,,,,,,,,,,,,,,,,1
1000222,Patrice Bergeron,S06,,,,,,1,,,,,,,,,,,,,
1000130,Ron Bolt,S06,,,,,,1,,,,,,,,,,,,,
1000116,Jerrod Carter,S06,,,,,,1,,,,,,,,,,,,,
1000111,Jeff Dar,S06,,,,,,1,,,,,,,,,,,,,
1000214,Ryan Datsyuk,S06,,,,,,1,,,,,,,,,,,,,
1000135,Zach Dooley,S06,,,,,,1,,,,,,,,,,,,,
1000141,Freddy Dorchy,S06,,,,,,1,,,,,,,,,,,,,
1000101,Harl Elemmire,S06,,,,,,1,,,,,,,,,,,,,
1000052,Ideen Fallah,S06,,,,,,1,,,,,,,,,,,,,
1100016,Eddie Fischermann,S06,,,,,,1,,,,,,,,,,,,,
1000769,Jonathan Kane,S06,,,,,,1,,,,,,,,,,,,,
1000064,Edgar Marcco,S06,,,,,,1,,,,,,,,,,,,,
1000215,Chuck Norris,S06,,,,,,1,,,,,,,,,,,,,
1000267,Hank Powers,S06,,,,,,1,,,,,,,,,,,,,
1000025,Anton Razov,S06,,,,,,1,,,,,,,,,,,,,
1000133,Tyler Seguin,S06,,,,,,1,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S06,,,,,,1,,,,,,,,,,,,,
1000069,Brad Steeves,S06,,,,,,1,,,,,,,,,,,,,
1000134,Scott Stevens,S06,,,,,,1,,,,,,,,,,,,,
1000268,Nicklas Svensson,S06,,,,,,1,,,,,,,,,,,,,
1000117,Jamie Campagiorni,S06,,,,,,1,,,,,,,,,,,,,
